Limiar	Frequencia	Variancia
1	121	0
2	321	0
3	262	13
4	323	50
5	342	81
6	600	120
7	298	160
8	247	234
9	202	273
10	187	304
11	133	329
12	126	354
13	109	373
14	81	391
15	69	402
16	59	411
17	48	424
18	44	430
19	36	441
20	33	439
21	32	442
22	27	445
23	28	455
24	23	458
25	26	461
26	22	463
27	21	465
28	19	475
29	20	470
30	19	472
31	21	473
32	21	475
33	23	477
34	25	479
35	27	489
36	28	491
37	30	486
38	31	489
39	32	492
40	30	495
41	33	505
42	33	500
43	34	503
44	34	506
45	38	517
46	39	512
47	44	516
48	40	519
49	50	523
50	50	526
51	41	531
52	46	527
53	43	538
54	40	534
55	40	538
56	39	541
57	35	544
58	37	547
59	41	550
60	37	545
61	37	556
62	40	559
63	41	554
64	37	557
65	37	560
66	41	563
67	42	565
68	44	568
69	39	563
70	38	575
71	40	578
72	44	572
73	42	574
74	41	569
75	42	580
76	48	583
77	48	577
78	48	580
79	49	583
80	47	587
81	47	581
82	46	584
83	47	587
84	49	589
85	48	583
86	48	586
87	48	598
88	48	592
89	47	594
90	47	588
91	51	600
92	50	593
93	51	596
94	54	589
95	58	592
96	59	594
97	57	597
98	56	591
99	65	593
100	65	596
101	63	589
102	68	592
103	83	595
104	96	588
105	111	592
106	115	596
107	107	590
108	92	595
109	89	589
110	87	592
111	76	585
112	71	578
113	73	590
114	76	582
115	95	575
116	127	577
117	161	579
118	162	572
119	174	576
120	163	569
121	142	563
122	171	565
123	165	567
124	160	550
125	155	552
126	122	553
127	117	554
128	134	545
129	109	546
130	108	537
131	110	546
132	120	537
133	139	537
134	132	527
135	148	536
136	148	526
137	154	525
138	141	524
139	118	513
140	132	512
141	139	510
142	142	509
143	147	507
144	131	496
145	131	493
146	138	491
147	134	488
148	127	486
149	131	483
150	143	471
151	169	477
152	213	473
153	272	460
154	200	462
155	214	446
156	176	439
157	164	432
158	199	425
159	163	419
160	164	419
161	137	419
162	145	412
163	124	406
164	132	406
165	118	400
166	114	393
167	127	394
168	113	388
169	131	387
170	135	381
171	119	380
172	106	371
173	109	364
174	102	364
175	106	356
176	98	355
177	107	348
178	109	347
179	122	339
180	98	337
181	82	333
182	80	330
183	83	324
184	87	322
185	80	320
186	111	313
187	82	311
188	100	305
189	70	303
190	71	302
191	70	295
192	108	292
193	70	285
194	59	282
195	56	283
196	55	276
197	46	274
198	48	271
199	46	270
200	43	264
201	46	262
202	43	261
203	45	258
204	42	253
205	47	254
206	41	252
207	39	248
208	36	246
209	38	240
210	30	238
211	28	239
212	21	238
213	22	237
214	20	233
215	19	230
216	18	230
217	17	226
218	15	226
219	16	227
220	13	224
221	13	224
222	14	222
223	14	222
224	13	220
225	13	218
226	12	215
227	13	213
228	12	214
229	11	211
230	11	212
231	12	210
232	13	208
233	15	208
234	14	206
235	16	206
236	17	203
237	15	200
238	18	197
239	20	196
240	20	195
241	24	191
242	22	190
243	23	188
244	22	185
245	26	179
246	30	176
247	36	173
248	42	169
249	51	165
250	59	158
251	84	151
252	134	143
253	178	130
254	208	113
255	0	94
