Limiar	Frequencia	Variancia
1	0	0
2	121	0
3	0	0
4	0	13
5	321	13
6	0	13
7	0	48
8	0	48
9	262	48
10	0	48
11	0	77
12	0	77
13	323	77
14	0	77
15	0	109
16	0	109
17	342	109
18	0	109
19	0	143
20	0	143
21	0	143
22	0	143
23	0	143
24	600	143
25	0	143
26	0	199
27	0	199
28	298	199
29	0	199
30	0	226
31	247	226
32	0	226
33	0	247
34	202	247
35	0	247
36	187	264
37	133	264
38	0	275
39	126	290
40	109	290
41	81	300
42	69	308
43	59	315
44	93	325
45	102	324
46	80	336
47	71	339
48	81	350
49	97	349
50	58	361
51	93	362
52	66	372
53	68	372
54	77	382
55	84	381
56	100	392
57	88	391
58	84	404
59	79	403
60	72	415
61	78	413
62	78	424
63	78	429
64	78	433
65	87	438
66	77	442
67	84	447
68	84	451
69	91	456
70	48	460
71	97	472
72	94	467
73	46	472
74	97	477
75	96	479
76	48	484
77	95	496
78	98	491
79	50	495
80	106	499
81	58	501
82	117	506
83	56	508
84	65	513
85	65	523
86	131	518
87	83	520
88	0	525
89	96	536
90	111	536
91	115	531
92	0	535
93	107	547
94	92	547
95	89	542
96	87	554
97	76	556
98	71	550
99	73	561
100	76	563
101	95	564
102	127	566
103	0	569
104	161	563
105	0	563
106	162	566
107	0	566
108	0	569
109	174	569
110	0	569
111	163	581
112	142	581
113	0	583
114	0	576
115	171	576
116	0	576
117	165	587
118	0	587
119	160	589
120	155	589
121	0	590
122	122	591
123	117	591
124	0	592
125	134	592
126	109	592
127	0	592
128	108	592
129	110	592
130	0	592
131	120	592
132	139	592
133	0	592
134	132	591
135	0	591
136	148	600
137	0	600
138	148	598
139	0	598
140	154	588
141	141	588
142	0	586
143	118	584
144	132	584
145	0	582
146	139	580
147	0	580
148	142	578
149	0	578
150	147	584
151	131	584
152	0	581
153	131	578
154	0	578
155	138	566
156	134	566
157	0	562
158	127	559
159	131	559
160	0	564
161	143	560
162	0	560
163	169	555
164	0	555
165	0	550
166	213	550
167	0	550
168	0	542
169	272	542
170	0	542
171	0	532
172	200	532
173	0	532
174	214	523
175	0	523
176	0	514
177	176	514
178	0	514
179	164	506
180	0	506
181	199	498
182	0	498
183	163	488
184	0	488
185	164	479
186	0	479
187	137	478
188	0	478
189	145	470
190	124	470
191	0	455
192	132	447
193	118	447
194	0	446
195	114	439
196	127	439
197	0	431
198	113	423
199	131	423
200	0	422
201	135	413
202	119	413
203	0	403
204	106	388
205	109	388
206	102	387
207	0	378
208	106	371
209	98	371
210	107	368
211	109	355
212	0	346
213	122	342
214	98	342
215	82	332
216	80	323
217	83	321
218	87	309
219	80	306
220	0	299
221	111	291
222	82	291
223	100	281
224	70	277
225	71	267
226	70	264
227	108	257
228	70	250
229	116	239
230	101	235
231	48	226
232	89	215
233	90	210
234	88	203
235	88	195
236	76	185
237	68	180
238	93	170
239	71	164
240	86	155
241	86	149
242	77	140
243	75	133
244	93	125
245	57	119
246	78	108
247	51	104
248	59	97
249	84	92
250	134	87
251	0	79
252	178	72
253	0	72
254	0	0
255	0	0
