Limiar	Frequencia	Variancia
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0
63	0	0
64	54	0
65	121	0
66	321	6
67	262	20
68	323	58
69	342	88
70	600	127
71	298	168
72	247	243
73	202	283
74	187	319
75	133	346
76	126	371
77	109	391
78	81	411
79	69	422
80	59	430
81	48	444
82	44	449
83	36	462
84	33	466
85	32	462
86	27	473
87	28	476
88	23	478
89	26	481
90	22	483
91	21	494
92	19	496
93	20	498
94	19	492
95	21	494
96	21	495
97	23	497
98	25	508
99	27	510
100	28	512
101	30	514
102	31	509
103	32	520
104	30	523
105	33	525
106	33	519
107	34	522
108	34	534
109	38	537
110	39	531
111	44	534
112	40	546
113	50	550
114	50	544
115	41	548
116	46	552
117	43	556
118	40	559
119	40	563
120	39	566
121	35	569
122	37	562
123	41	565
124	37	577
125	37	571
126	40	573
127	41	576
128	37	579
129	37	582
130	41	584
131	42	577
132	44	580
133	39	583
134	38	586
135	40	588
136	44	581
137	42	593
138	41	596
139	42	588
140	48	591
141	48	584
142	48	596
143	49	589
144	47	592
145	47	594
146	46	597
147	47	600
148	49	592
149	48	594
150	48	597
151	48	599
152	48	591
153	47	593
154	47	596
155	51	598
156	50	590
157	51	592
158	54	584
159	58	596
160	59	588
161	57	590
162	56	582
163	65	595
164	65	586
165	63	588
166	68	580
167	83	582
168	96	584
169	111	577
170	115	579
171	107	572
172	92	575
173	89	567
174	87	558
175	76	560
176	71	562
177	73	553
178	76	554
179	95	555
180	127	546
181	161	547
182	162	538
183	174	539
184	163	530
185	142	521
186	171	511
187	165	511
188	160	511
189	155	491
190	122	490
191	117	479
192	134	478
193	109	477
194	108	475
195	110	464
196	120	463
197	139	461
198	132	459
199	148	447
200	148	445
201	154	433
202	141	429
203	118	417
204	132	413
205	139	410
206	142	407
207	147	394
208	131	390
209	131	377
210	138	381
211	134	369
212	127	364
213	131	359
214	143	355
215	169	350
216	213	336
217	272	330
218	200	320
219	214	308
220	176	299
221	164	282
222	199	279
223	163	265
224	164	254
225	137	245
226	145	236
227	124	233
228	132	224
229	118	216
230	114	212
231	127	204
232	113	201
233	131	192
234	135	180
235	119	178
236	106	167
237	109	161
238	102	153
239	106	147
240	98	141
241	107	135
242	109	129
243	122	123
244	98	115
245	82	108
246	80	100
247	83	95
248	87	89
249	80	86
250	111	80
251	82	75
252	100	70
253	70	67
254	71	70
255	0	89
