Limiar	Frequencia	Variancia
1	54	0
2	121	0
3	0	7
4	0	23
5	0	23
6	0	23
7	321	23
8	0	23
9	0	61
10	0	61
11	262	61
12	0	61
13	0	93
14	0	93
15	323	93
16	0	93
17	0	130
18	0	130
19	0	130
20	342	130
21	0	130
22	0	168
23	0	168
24	0	168
25	0	168
26	0	168
27	0	168
28	600	168
29	0	168
30	0	230
31	0	230
32	298	230
33	0	230
34	0	259
35	0	259
36	247	259
37	0	259
38	0	277
39	202	277
40	0	277
41	187	300
42	0	300
43	133	317
44	0	317
45	126	328
46	109	328
47	0	338
48	81	347
49	129	347
50	48	354
51	81	364
52	66	368
53	80	374
54	71	379
55	81	385
56	70	391
57	56	396
58	93	408
59	63	405
60	67	418
61	72	416
62	83	427
63	40	426
64	100	438
65	41	434
66	90	447
67	81	443
68	74	455
69	37	453
70	78	465
71	78	467
72	78	472
73	78	469
74	42	481
75	83	478
76	78	487
77	87	492
78	41	496
79	91	501
80	48	503
81	97	507
82	47	509
83	93	522
84	47	516
85	97	529
86	48	523
87	96	535
88	47	529
89	98	541
90	50	535
91	51	547
92	112	541
93	59	543
94	57	547
95	56	557
96	65	551
97	65	553
98	131	555
99	0	557
100	83	561
101	96	561
102	0	572
103	111	575
104	115	575
105	0	569
106	107	572
107	92	572
108	89	583
109	87	585
110	76	578
111	71	588
112	0	590
113	73	591
114	76	591
115	95	592
116	0	593
117	127	594
118	0	594
119	161	596
120	0	596
121	162	597
122	0	597
123	0	599
124	174	599
125	0	599
126	163	599
127	0	599
128	142	591
129	0	591
130	171	591
131	0	591
132	0	600
133	165	600
134	0	600
135	160	599
136	0	599
137	155	598
138	0	598
139	122	596
140	117	596
141	0	595
142	134	593
143	0	593
144	109	591
145	108	591
146	0	599
147	110	587
148	0	587
149	120	585
150	139	585
151	0	583
152	132	579
153	0	579
154	148	576
155	0	576
156	148	572
157	0	572
158	0	568
159	154	568
160	0	568
161	141	571
162	118	571
163	0	567
164	132	554
165	0	554
166	139	549
167	0	549
168	142	543
169	0	543
170	147	546
171	0	546
172	131	539
173	0	539
174	131	533
175	0	533
176	138	535
177	0	535
178	134	528
179	127	528
180	0	521
181	131	514
182	0	514
183	143	506
184	0	506
185	0	498
186	169	498
187	0	498
188	0	487
189	213	487
190	0	487
191	0	473
192	272	473
193	0	473
194	0	455
195	200	455
196	0	455
197	0	441
198	214	441
199	0	441
200	0	425
201	176	425
202	0	425
203	164	411
204	0	411
205	0	404
206	199	404
207	0	404
208	163	387
209	0	387
210	164	373
211	0	373
212	137	358
213	0	358
214	145	346
215	0	346
216	124	337
217	0	337
218	132	325
219	118	325
220	0	317
221	114	305
222	0	305
223	127	293
224	113	293
225	0	283
226	131	271
227	0	271
228	135	256
229	0	256
230	119	244
231	106	244
232	0	234
233	109	224
234	102	224
235	0	211
236	106	200
237	98	200
238	107	192
239	0	181
240	109	169
241	0	169
242	122	155
243	98	155
244	82	145
245	80	133
246	0	122
247	83	114
248	87	114
249	80	106
250	111	97
251	0	87
252	82	77
253	100	77
254	70	72
255	0	82
