Limiar	Frequencia	Variancia
1	74	0
2	82	0
3	85	5
4	87	10
5	78	16
6	75	22
7	80	28
8	87	33
9	85	39
10	83	44
11	84	50
12	97	55
13	95	61
14	95	67
15	98	74
16	94	80
17	93	86
18	92	92
19	94	98
20	98	103
21	95	109
22	97	117
23	96	121
24	95	129
25	94	133
26	93	140
27	102	144
28	101	151
29	102	157
30	108	161
31	116	169
32	118	175
33	115	182
34	113	188
35	129	197
36	130	201
37	126	207
38	135	217
39	165	224
40	192	228
41	222	242
42	229	252
43	214	263
44	184	278
45	177	288
46	173	297
47	152	308
48	143	320
49	145	331
50	152	338
51	190	348
52	253	355
53	321	363
54	323	378
55	346	395
56	324	413
57	283	436
58	340	458
59	328	479
60	318	502
61	309	524
62	243	540
63	234	561
64	0	580
65	0	600
66	0	600
67	0	600
68	0	600
69	0	600
70	0	600
71	0	600
72	0	600
73	0	600
74	0	600
75	0	600
76	0	600
77	0	600
78	0	600
79	0	600
80	0	600
81	0	600
82	0	600
83	0	600
84	0	600
85	0	600
86	0	600
87	0	600
88	0	600
89	0	600
90	0	600
91	0	600
92	0	600
93	0	600
94	0	600
95	0	600
96	0	600
97	0	600
98	0	600
99	0	600
100	0	600
101	0	600
102	0	600
103	0	600
104	0	600
105	0	600
106	0	600
107	0	600
108	0	600
109	0	600
110	0	600
111	0	600
112	0	600
113	0	600
114	0	600
115	0	600
116	0	600
117	0	600
118	0	600
119	0	600
120	0	600
121	0	600
122	0	600
123	0	600
124	0	600
125	0	600
126	0	600
127	0	600
128	0	600
129	0	600
130	0	600
131	0	600
132	0	600
133	0	600
134	0	600
135	0	600
136	0	600
137	0	600
138	0	600
139	0	600
140	0	600
141	0	600
142	0	600
143	0	600
144	0	600
145	0	600
146	0	600
147	0	600
148	0	600
149	0	600
150	0	600
151	0	600
152	0	600
153	0	600
154	0	600
155	0	600
156	0	600
157	0	600
158	0	600
159	0	600
160	0	600
161	0	600
162	0	600
163	0	600
164	0	600
165	0	600
166	0	600
167	0	600
168	0	600
169	0	600
170	0	600
171	0	600
172	0	600
173	0	600
174	0	600
175	0	600
176	0	600
177	0	600
178	0	600
179	0	600
180	0	600
181	0	600
182	0	600
183	0	600
184	0	600
185	0	600
186	0	600
187	0	600
188	0	600
189	0	600
190	0	600
191	0	600
192	0	600
193	486	600
194	216	600
195	219	571
196	240	556
197	277	541
198	262	532
199	296	510
200	295	501
201	307	485
202	282	469
203	235	452
204	262	441
205	276	430
206	284	419
207	292	407
208	262	396
209	262	384
210	276	377
211	267	360
212	254	353
213	261	341
214	285	333
215	337	321
216	424	313
217	540	300
218	398	286
219	426	270
220	350	256
221	326	245
222	396	235
223	325	222
224	600	211
225	289	201
226	247	186
227	262	180
228	236	172
229	227	163
230	254	158
231	226	152
232	261	146
233	268	138
234	236	132
235	211	125
236	217	119
237	203	113
238	210	107
239	196	101
240	213	97
241	218	91
242	243	86
243	196	81
244	165	74
245	160	69
246	165	64
247	174	60
248	160	55
249	222	50
250	164	47
251	198	41
252	140	36
253	142	32
254	139	31
255	0	34
