Limiar	Frequencia	Variancia
1	74	0
2	167	0
3	87	6
4	78	21
5	75	29
6	168	36
7	85	43
8	83	57
9	84	64
10	97	72
11	95	79
12	95	87
13	98	95
14	188	103
15	92	111
16	94	126
17	98	132
18	95	141
19	97	147
20	96	156
21	95	161
22	94	171
23	93	179
24	102	186
25	101	193
26	102	200
27	108	208
28	116	215
29	118	223
30	115	231
31	113	236
32	0	248
33	129	255
34	130	255
35	126	264
36	135	273
37	0	277
38	165	290
39	0	290
40	192	301
41	0	301
42	222	313
43	0	313
44	229	326
45	0	326
46	214	340
47	0	340
48	184	353
49	0	353
50	177	363
51	0	363
52	173	373
53	152	373
54	143	382
55	0	391
56	145	398
57	152	398
58	0	406
59	190	413
60	0	413
61	0	422
62	253	422
63	0	422
64	0	435
65	321	435
66	0	435
67	0	449
68	323	449
69	0	449
70	0	463
71	346	463
72	0	463
73	0	477
74	0	477
75	324	477
76	0	477
77	283	482
78	0	482
79	0	500
80	0	500
81	340	500
82	0	500
83	0	512
84	328	512
85	0	512
86	0	522
87	318	522
88	0	522
89	0	532
90	309	532
91	0	532
92	243	540
93	0	540
94	0	546
95	234	546
96	0	546
97	0	552
98	0	552
99	486	552
100	0	552
101	216	562
102	0	562
103	0	567
104	219	567
105	0	567
106	240	570
107	0	570
108	0	574
109	277	574
110	0	574
111	262	578
112	0	578
113	0	581
114	296	581
115	0	581
116	0	584
117	295	584
118	0	584
119	0	587
120	307	587
121	0	587
122	0	589
123	282	589
124	0	589
125	235	590
126	0	590
127	262	590
128	0	590
129	0	600
130	276	600
131	0	600
132	0	590
133	284	590
134	0	590
135	0	589
136	292	589
137	0	589
138	262	587
139	0	587
140	0	585
141	262	585
142	0	585
143	0	592
144	276	592
145	0	592
146	267	589
147	0	589
148	0	577
149	254	577
150	0	577
151	261	582
152	0	582
153	0	577
154	285	577
155	0	577
156	0	563
157	337	563
158	0	563
159	0	565
160	0	565
161	424	565
162	0	565
163	0	555
164	0	555
165	0	555
166	0	555
167	540	555
168	0	555
169	0	540
170	0	540
171	398	540
172	0	540
173	0	528
174	0	528
175	426	528
176	0	528
177	0	514
178	350	514
179	0	514
180	0	502
181	326	502
182	0	502
183	0	497
184	0	497
185	396	497
186	0	497
187	0	480
188	325	480
189	0	480
190	0	466
191	0	466
192	0	466
193	0	466
194	600	466
195	0	466
196	0	437
197	289	437
198	0	437
199	247	423
200	0	423
201	0	410
202	262	410
203	0	410
204	236	395
205	0	395
206	227	388
207	0	388
208	0	375
209	254	375
210	0	375
211	226	365
212	0	365
213	0	350
214	261	350
215	0	350
216	268	333
217	0	333
218	0	315
219	236	315
220	0	315
221	211	304
222	0	304
223	217	288
224	0	288
225	203	277
226	0	277
227	210	261
228	0	261
229	196	248
230	0	248
231	213	236
232	0	236
233	218	222
234	0	222
235	243	206
236	0	206
237	196	190
238	0	190
239	165	174
240	160	174
241	0	162
242	165	148
243	0	148
244	174	137
245	160	137
246	0	122
247	222	112
248	0	112
249	164	95
250	0	95
251	198	84
252	140	84
253	0	72
254	142	73
255	0	73
