Limiar	Frequencia	Variancia
1	3	0
2	2	0
3	2	4
4	3	9
5	3	14
6	3	18
7	3	23
8	2	28
9	3	33
10	3	37
11	3	41
12	3	47
13	3	51
14	3	55
15	3	59
16	3	64
17	3	69
18	3	75
19	3	79
20	3	84
21	3	89
22	3	93
23	3	97
24	3	102
25	3	106
26	3	109
27	3	114
28	3	117
29	3	122
30	3	126
31	4	131
32	4	133
33	4	138
34	4	143
35	4	148
36	4	151
37	5	153
38	5	161
39	4	164
40	5	170
41	6	175
42	7	178
43	8	184
44	8	192
45	8	198
46	7	207
47	6	211
48	6	214
49	5	225
50	5	227
51	5	232
52	5	238
53	7	238
54	9	243
55	12	250
56	12	254
57	13	264
58	12	274
59	11	280
60	13	290
61	12	298
62	12	308
63	12	317
64	9	326
65	9	334
66	10	334
67	8	346
68	8	347
69	8	359
70	9	357
71	10	369
72	10	368
73	11	374
74	11	380
75	11	386
76	11	393
77	9	399
78	10	405
79	10	417
80	11	414
81	11	419
82	10	433
83	10	430
84	10	442
85	10	438
86	9	443
87	10	456
88	11	451
89	13	463
90	16	467
91	21	472
92	15	477
93	16	493
94	13	498
95	12	502
96	15	505
97	12	508
98	12	512
99	10	514
100	11	526
101	9	528
102	10	540
103	9	531
104	8	542
105	9	544
106	8	544
107	10	555
108	10	556
109	9	557
110	8	557
111	8	568
112	7	558
113	8	568
114	7	579
115	8	568
116	8	579
117	9	568
118	7	578
119	6	588
120	6	577
121	6	587
122	6	586
123	6	586
124	8	585
125	6	595
126	7	583
127	5	593
128	5	581
129	5	591
130	8	590
131	5	600
132	4	587
133	4	597
134	4	596
135	3	585
136	3	594
137	3	593
138	3	592
139	3	592
140	3	591
141	3	590
142	3	589
143	3	598
144	3	587
145	3	586
146	2	585
147	2	584
148	2	594
149	2	583
150	1	582
151	1	581
152	1	581
153	1	580
154	1	580
155	1	590
156	1	589
157	1	589
158	1	578
159	1	578
160	1	578
161	1	577
162	1	577
163	1	577
164	0	576
165	1	576
166	0	576
167	0	575
168	0	575
169	0	575
170	1	574
171	1	574
172	1	564
173	1	563
174	1	563
175	1	572
176	1	572
177	1	572
178	1	571
179	1	570
180	1	570
181	1	559
182	1	559
183	2	558
184	2	557
185	2	557
186	3	556
187	4	545
188	4	544
189	6	542
190	10	531
191	13	529
192	16	515
193	600	491
194	0	485
195	0	0
196	0	0
197	0	0
198	0	0
199	0	0
200	0	0
201	0	0
202	0	0
203	0	0
204	0	0
205	0	0
206	0	0
207	0	0
208	0	0
209	0	0
210	0	0
211	0	0
212	0	0
213	0	0
214	0	0
215	0	0
216	0	0
217	0	0
218	0	0
219	0	0
220	0	0
221	0	0
222	0	0
223	0	0
224	0	0
225	0	0
226	0	0
227	0	0
228	0	0
229	0	0
230	0	0
231	0	0
232	0	0
233	0	0
234	0	0
235	0	0
236	0	0
237	0	0
238	0	0
239	0	0
240	0	0
241	0	0
242	0	0
243	0	0
244	0	0
245	0	0
246	0	0
247	0	0
248	0	0
249	0	0
250	0	0
251	0	0
252	0	0
253	0	0
254	0	0
255	0	0
