Limiar	Frequencia	Variancia
1	164	0
2	185	0
3	184	10
4	271	23
5	186	35
6	201	53
7	212	64
8	214	78
9	206	89
10	104	105
11	215	115
12	215	124
13	211	137
14	217	150
15	226	158
16	119	174
17	260	183
18	127	194
19	269	204
20	144	215
21	290	224
22	183	237
23	213	247
24	0	262
25	247	266
26	255	266
27	237	285
28	204	297
29	197	301
30	192	318
31	169	319
32	320	336
33	169	343
34	211	357
35	0	356
36	280	373
37	356	373
38	0	384
39	358	398
40	0	398
41	384	402
42	0	402
43	360	416
44	314	416
45	0	428
46	378	449
47	0	449
48	364	461
49	0	461
50	353	472
51	0	472
52	342	483
53	269	483
54	259	492
55	0	488
56	297	506
57	241	506
58	240	513
59	243	507
60	0	525
61	266	530
62	308	530
63	0	523
64	291	541
65	328	541
66	0	547
67	327	552
68	340	552
69	0	557
70	313	549
71	260	549
72	0	566
73	291	569
74	307	569
75	0	573
76	315	576
77	324	576
78	0	578
79	290	581
80	290	581
81	0	582
82	306	597
83	296	597
84	0	585
85	281	586
86	289	586
87	0	586
88	316	600
89	0	600
90	373	586
91	0	586
92	470	585
93	0	585
94	0	596
95	600	596
96	0	596
97	441	579
98	0	579
99	472	575
100	0	575
101	389	571
102	0	571
103	361	566
104	0	566
105	439	561
106	0	561
107	360	567
108	0	567
109	362	561
110	303	561
111	0	555
112	320	536
113	274	536
114	0	542
115	291	536
116	262	536
117	252	529
118	0	523
119	281	516
120	251	516
121	289	509
122	0	513
123	298	494
124	262	494
125	234	485
126	241	488
127	0	480
128	225	461
129	233	461
130	217	464
131	236	455
132	242	448
133	0	439
134	270	429
135	218	429
136	360	428
137	183	410
138	193	395
139	177	395
140	246	387
141	182	379
142	220	367
143	156	367
144	158	348
145	155	348
146	238	347
147	287	332
148	125	327
149	223	311
150	208	311
151	296	298
152	195	285
153	194	274
154	168	261
155	215	255
156	226	244
157	201	234
158	201	219
159	185	213
160	205	198
161	205	192
162	206	180
163	207	169
164	131	158
165	186	150
166	295	142
167	0	132
168	393	117
169	0	117
170	0	104
171	459	104
172	0	104
173	0	0
174	0	0
175	0	0
176	0	0
177	0	0
178	0	0
179	0	0
180	0	0
181	0	0
182	0	0
183	0	0
184	0	0
185	0	0
186	0	0
187	0	0
188	0	0
189	0	0
190	0	0
191	0	0
192	0	0
193	0	0
194	0	0
195	0	0
196	0	0
197	0	0
198	0	0
199	0	0
200	0	0
201	0	0
202	0	0
203	0	0
204	0	0
205	0	0
206	0	0
207	0	0
208	0	0
209	0	0
210	0	0
211	0	0
212	0	0
213	0	0
214	0	0
215	0	0
216	0	0
217	0	0
218	0	0
219	0	0
220	0	0
221	0	0
222	0	0
223	0	0
224	0	0
225	0	0
226	0	0
227	0	0
228	0	0
229	0	0
230	0	0
231	0	0
232	0	0
233	0	0
234	0	0
235	0	0
236	0	0
237	0	0
238	0	0
239	0	0
240	0	0
241	0	0
242	0	0
243	0	0
244	0	0
245	0	0
246	0	0
247	0	0
248	0	0
249	0	0
250	0	0
251	0	0
252	0	0
253	0	0
254	0	0
255	0	0
