Limiar	Frequencia	Variancia
1	11	0
2	16	0
3	20	1
4	22	3
5	24	5
6	25	7
7	25	9
8	27	12
9	29	14
10	33	17
11	36	20
12	40	23
13	41	27
14	42	30
15	48	33
16	51	38
17	55	42
18	61	46
19	68	51
20	78	56
21	83	61
22	82	68
23	85	75
24	93	80
25	98	87
26	102	93
27	102	103
28	112	109
29	109	117
30	111	128
31	113	134
32	114	143
33	118	151
34	127	159
35	129	165
36	129	177
37	130	186
38	128	195
39	128	204
40	129	212
41	128	221
42	127	229
43	126	237
44	124	250
45	125	253
46	128	265
47	125	273
48	121	275
49	122	287
50	117	294
51	119	301
52	120	307
53	121	320
54	126	320
55	125	332
56	131	339
57	125	351
58	125	351
59	128	364
60	120	370
61	120	382
62	116	381
63	117	393
64	116	398
65	114	403
66	112	408
67	111	420
68	107	417
69	106	429
70	104	433
71	98	437
72	99	441
73	101	452
74	94	448
75	94	459
76	94	462
77	96	465
78	94	476
79	92	471
80	96	482
81	94	476
82	93	487
83	92	498
84	94	492
85	96	503
86	92	497
87	93	507
88	92	509
89	95	511
90	97	522
91	92	515
92	93	526
93	90	528
94	97	529
95	93	531
96	98	532
97	92	543
98	92	544
99	89	545
100	89	546
101	87	556
102	88	548
103	87	558
104	86	549
105	85	559
106	89	560
107	91	560
108	92	570
109	88	561
110	95	570
111	100	561
112	100	571
113	113	571
114	129	570
115	133	570
116	127	579
117	115	578
118	104	587
119	101	586
120	106	585
121	97	584
122	98	582
123	95	591
124	93	599
125	96	588
126	94	596
127	92	594
128	95	592
129	91	590
130	94	598
131	93	596
132	89	593
133	92	591
134	91	598
135	93	596
136	86	593
137	84	600
138	84	597
139	86	594
140	79	591
141	83	598
142	78	595
143	71	592
144	77	598
145	77	595
146	75	592
147	74	598
148	73	595
149	78	591
150	82	588
151	78	594
152	76	590
153	71	586
154	76	591
155	78	578
156	76	583
157	75	588
158	74	584
159	79	580
160	79	575
161	74	579
162	73	583
163	71	570
164	80	574
165	82	569
166	72	572
167	73	567
168	76	562
169	73	565
170	75	560
171	73	554
172	78	557
173	76	551
174	102	553
175	78	547
176	69	547
177	75	541
178	67	542
179	83	528
180	87	530
181	76	530
182	67	522
183	71	523
184	69	516
185	89	517
186	85	517
187	73	508
188	83	506
189	90	499
190	82	503
191	57	494
192	54	491
193	47	485
194	44	485
195	42	486
196	32	487
197	26	475
198	21	477
199	21	474
200	22	478
201	19	475
202	20	472
203	25	476
204	21	467
205	9	464
206	7	467
207	6	466
208	6	465
209	6	464
210	4	464
211	4	463
212	4	462
213	3	461
214	3	461
215	3	460
216	3	466
217	2	465
218	2	465
219	2	465
220	2	464
221	2	464
222	2	464
223	2	463
224	4	463
225	11	463
226	11	462
227	8	461
228	44	453
229	59	452
230	44	452
231	36	444
232	27	433
233	39	433
234	53	430
235	46	424
236	46	417
237	43	410
238	83	404
239	58	398
240	39	386
241	43	378
242	84	372
243	107	366
244	76	354
245	51	338
246	76	326
247	124	319
248	146	307
249	204	292
250	207	269
251	226	239
252	156	208
253	172	178
254	600	156
255	0	133
