Limiar	Frequencia	Variancia
1	245	0
2	140	0
3	266	10
4	216	17
5	112	28
6	265	37
7	146	42
8	345	54
9	207	60
10	220	74
11	220	83
12	226	92
13	0	101
14	249	110
15	261	110
16	272	120
17	272	130
18	0	141
19	298	151
20	290	151
21	0	163
22	295	173
23	300	173
24	303	184
25	0	192
26	314	206
27	338	206
28	0	218
29	344	229
30	0	229
31	343	241
32	347	241
33	0	253
34	340	264
35	341	264
36	0	276
37	344	287
38	0	287
39	339	297
40	338	297
41	0	303
42	336	318
43	331	318
44	0	328
45	331	338
46	340	338
47	0	347
48	333	357
49	323	357
50	0	366
51	324	375
52	310	375
53	0	384
54	318	392
55	318	392
56	0	400
57	321	408
58	334	408
59	0	416
60	331	424
61	0	424
62	349	431
63	332	431
64	0	439
65	333	447
66	341	447
67	0	454
68	320	461
69	320	461
70	0	468
71	309	474
72	313	474
73	0	480
74	308	486
75	305	486
76	298	492
77	0	497
78	296	494
79	285	494
80	282	507
81	0	512
82	276	516
83	260	516
84	264	521
85	270	525
86	250	528
87	0	532
88	252	536
89	250	536
90	256	539
91	251	542
92	246	545
93	0	548
94	256	551
95	250	551
96	248	554
97	246	557
98	250	559
99	256	562
100	244	573
101	0	567
102	248	569
103	245	569
104	254	571
105	258	573
106	245	584
107	249	576
108	0	587
109	240	579
110	259	579
111	248	581
112	262	592
113	244	583
114	244	594
115	0	586
116	237	587
117	238	587
118	231	597
119	234	588
120	231	598
121	229	589
122	227	599
123	238	590
124	241	599
125	244	590
126	234	600
127	0	599
128	253	590
129	266	590
130	265	599
131	0	589
132	301	598
133	344	598
134	0	597
135	355	596
136	338	596
137	0	586
138	305	593
139	277	593
140	268	592
141	0	591
142	281	589
143	258	589
144	260	587
145	254	586
146	248	584
147	0	582
148	257	571
149	251	571
150	246	578
151	253	575
152	241	573
153	250	571
154	247	577
155	0	566
156	236	563
157	246	563
158	242	560
159	248	557
160	230	563
161	223	551
162	224	557
163	229	545
164	211	551
165	220	539
166	207	544
167	190	541
168	206	538
169	206	535
170	200	532
171	197	528
172	195	525
173	207	521
174	219	518
175	207	514
176	203	510
177	189	506
178	409	502
179	204	499
180	201	491
181	196	486
182	211	490
183	210	478
184	197	481
185	194	469
186	189	472
187	214	460
188	218	463
189	193	451
190	194	453
191	203	448
192	196	443
193	393	438
194	207	433
195	204	423
196	0	424
197	272	412
198	391	412
199	200	405
200	179	394
201	220	394
202	231	389
203	203	383
204	180	382
205	190	370
206	184	370
207	237	358
208	227	358
209	194	350
210	221	343
211	238	337
212	217	334
213	296	321
214	127	319
215	230	308
216	271	304
217	234	296
218	217	290
219	150	281
220	274	277
221	214	268
222	178	265
223	141	252
224	247	249
225	116	243
226	377	237
227	221	228
228	225	219
229	0	209
230	286	205
231	339	205
232	203	192
233	0	179
234	330	174
235	0	174
236	389	162
237	0	162
238	541	146
239	0	146
240	0	126
241	550	126
242	0	126
243	0	104
244	600	104
245	415	104
246	0	83
247	0	74
248	459	74
249	0	74
250	0	0
251	0	0
252	0	0
253	0	0
254	0	0
255	0	0
