Limiar	Frequencia	Variancia
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0
63	0	0
64	0	0
65	0	0
66	0	0
67	0	0
68	0	0
69	0	0
70	0	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
100	0	0
101	0	0
102	0	0
103	0	0
104	0	0
105	0	0
106	0	0
107	0	0
108	0	0
109	0	0
110	0	0
111	0	0
112	0	0
113	0	0
114	0	0
115	0	0
116	0	0
117	0	0
118	0	0
119	0	0
120	0	0
121	0	0
122	0	0
123	0	0
124	0	0
125	0	0
126	0	0
127	0	0
128	84	0
129	52	0
130	74	4
131	91	7
132	99	12
133	108	17
134	115	22
135	114	28
136	123	33
137	132	39
138	152	45
139	165	50
140	180	59
141	186	65
142	189	72
143	216	80
144	231	86
145	247	96
146	276	106
147	306	113
148	350	121
149	372	138
150	371	147
151	382	156
152	421	170
153	441	178
154	461	199
155	460	207
156	504	223
157	490	238
158	499	254
159	507	260
160	512	274
161	531	289
162	571	303
163	582	317
164	579	332
165	586	335
166	575	348
167	577	362
168	582	374
169	574	400
170	571	398
171	568	409
172	559	420
173	560	430
174	576	455
175	563	448
176	546	473
177	548	465
178	524	472
179	537	496
180	538	485
181	542	509
182	565	497
183	560	520
184	591	525
185	561	530
186	564	534
187	577	557
188	540	541
189	541	563
190	523	566
191	529	567
192	521	569
193	515	570
194	504	570
195	500	590
196	482	570
197	477	589
198	467	587
199	440	586
200	447	584
201	456	582
202	424	600
203	425	577
204	422	594
205	432	571
206	424	587
207	416	583
208	433	579
209	423	593
210	420	569
211	416	583
212	422	559
213	433	572
214	412	547
215	420	559
216	414	571
217	429	545
218	436	556
219	415	530
220	421	539
221	406	531
222	438	522
223	419	530
224	443	503
225	413	509
226	412	498
227	401	488
228	402	477
229	390	466
230	396	455
231	390	458
232	387	446
233	384	433
234	402	421
235	408	409
236	412	408
237	396	381
238	428	378
239	450	375
240	448	359
241	509	351
242	581	332
243	600	320
244	572	294
245	516	274
246	468	260
247	453	239
248	475	225
249	437	209
250	440	197
251	430	182
252	419	171
253	434	159
254	425	157
255	0	182
