Limiar	Frequencia	Variancia
1	264	0
2	338	0
3	255	8
4	317	18
5	180	26
6	375	35
7	216	41
8	479	52
9	276	59
10	306	72
11	0	80
12	350	89
13	372	89
14	371	99
15	382	111
16	0	119
17	421	130
18	441	130
19	0	143
20	461	153
21	460	153
22	0	165
23	504	177
24	490	177
25	0	190
26	499	202
27	0	202
28	507	215
29	512	215
30	0	227
31	531	239
32	0	239
33	571	252
34	0	252
35	582	265
36	0	265
37	579	278
38	0	278
39	586	291
40	0	291
41	575	304
42	0	304
43	577	316
44	0	316
45	582	328
46	0	328
47	574	340
48	571	340
49	0	351
50	568	362
51	0	362
52	559	373
53	0	373
54	560	377
55	0	377
56	576	394
57	0	394
58	563	404
59	0	404
60	546	413
61	548	413
62	0	422
63	524	431
64	0	431
65	537	440
66	0	440
67	538	448
68	542	448
69	0	456
70	565	464
71	0	464
72	560	472
73	0	472
74	591	479
75	0	479
76	561	487
77	0	487
78	564	494
79	0	494
80	577	501
81	0	501
82	540	508
83	541	508
84	0	514
85	523	520
86	0	520
87	529	525
88	0	525
89	521	531
90	515	531
91	0	536
92	504	540
93	0	540
94	500	553
95	482	553
96	0	549
97	477	553
98	467	553
99	0	556
100	440	560
101	447	560
102	0	572
103	456	566
104	424	566
105	0	568
106	425	571
107	422	571
108	432	582
109	0	575
110	424	577
111	416	577
112	0	588
113	433	581
114	423	581
115	420	583
116	0	584
117	416	594
118	422	594
119	0	586
120	433	587
121	412	587
122	420	597
123	0	589
124	414	589
125	429	589
126	0	599
127	436	599
128	415	599
129	421	590
130	0	600
131	406	599
132	438	599
133	0	590
134	419	589
135	443	589
136	413	598
137	0	597
138	412	587
139	401	587
140	402	595
141	0	594
142	390	584
143	396	584
144	390	592
145	0	590
146	387	589
147	384	589
148	402	587
149	0	585
150	408	583
151	412	583
152	396	581
153	0	578
154	428	576
155	450	576
156	0	573
157	448	570
158	509	570
159	0	567
160	581	563
161	0	563
162	600	559
163	0	559
164	572	554
165	0	554
166	516	548
167	468	548
168	0	552
169	453	548
170	475	548
171	0	535
172	437	530
173	440	530
174	0	533
175	430	528
176	419	528
177	0	523
178	434	510
179	425	510
180	416	512
181	0	507
182	428	501
183	408	501
184	422	496
185	0	490
186	417	484
187	400	484
188	0	485
189	415	472
190	409	472
191	419	466
192	0	466
193	389	459
194	377	459
195	378	446
196	388	447
197	0	440
198	357	433
199	372	433
200	350	427
201	322	420
202	349	420
203	349	408
204	338	401
205	0	400
206	333	388
207	330	388
208	351	387
209	371	380
210	351	373
211	343	365
212	320	358
213	341	356
214	0	343
215	350	341
216	345	341
217	340	333
218	332	325
219	358	317
220	356	314
221	334	305
222	0	296
223	329	292
224	319	292
225	363	279
226	368	275
227	327	266
228	328	260
229	343	251
230	331	242
231	0	235
232	336	226
233	328	226
234	350	219
235	344	210
236	460	205
237	0	194
238	351	182
239	310	182
240	338	173
241	303	165
242	372	158
243	390	149
244	343	140
245	304	130
246	321	120
247	0	113
248	311	104
249	401	104
250	384	96
251	329	87
252	374	78
253	0	73
254	403	75
255	0	75
