Limiar	Frequencia	Variancia
1	369	0
2	361	0
3	358	9
4	345	18
5	342	28
6	334	36
7	315	45
8	320	54
9	327	63
10	303	70
11	305	79
12	303	86
13	310	95
14	304	102
15	298	112
16	310	119
17	303	127
18	301	134
19	298	143
20	302	149
21	310	160
22	295	166
23	301	175
24	297	181
25	307	193
26	312	198
27	297	207
28	301	216
29	291	225
30	314	230
31	300	242
32	317	248
33	296	256
34	295	265
35	287	274
36	288	282
37	279	291
38	284	303
39	279	307
40	277	320
41	275	324
42	288	336
43	292	340
44	295	352
45	283	356
46	307	369
47	322	376
48	321	389
49	364	397
50	416	410
51	429	419
52	409	432
53	370	451
54	335	459
55	324	472
56	340	490
57	313	496
58	315	514
59	308	520
60	300	538
61	311	549
62	304	561
63	298	572
64	0	589
65	0	600
66	0	600
67	0	600
68	0	600
69	0	600
70	0	600
71	0	600
72	0	600
73	0	600
74	0	600
75	0	600
76	0	600
77	0	600
78	0	600
79	0	600
80	0	600
81	0	600
82	0	600
83	0	600
84	0	600
85	0	600
86	0	600
87	0	600
88	0	600
89	0	600
90	0	600
91	0	600
92	0	600
93	0	600
94	0	600
95	0	600
96	0	600
97	0	600
98	0	600
99	0	600
100	0	600
101	0	600
102	0	600
103	0	600
104	0	600
105	0	600
106	0	600
107	0	600
108	0	600
109	0	600
110	0	600
111	0	600
112	0	600
113	0	600
114	0	600
115	0	600
116	0	600
117	0	600
118	0	600
119	0	600
120	0	600
121	0	600
122	0	600
123	0	600
124	0	600
125	0	600
126	0	600
127	0	600
128	0	600
129	0	600
130	0	600
131	0	600
132	0	600
133	0	600
134	0	600
135	0	600
136	0	600
137	0	600
138	0	600
139	0	600
140	0	600
141	0	600
142	0	600
143	0	600
144	0	600
145	0	600
146	0	600
147	0	600
148	0	600
149	0	600
150	0	600
151	0	600
152	0	600
153	0	600
154	0	600
155	0	600
156	0	600
157	0	600
158	0	600
159	0	600
160	0	600
161	0	600
162	0	600
163	0	600
164	0	600
165	0	600
166	0	600
167	0	600
168	0	600
169	0	600
170	0	600
171	0	600
172	0	600
173	0	600
174	0	600
175	0	600
176	0	600
177	0	600
178	0	600
179	0	600
180	0	600
181	0	600
182	0	600
183	0	600
184	0	600
185	0	600
186	0	600
187	0	600
188	0	600
189	0	600
190	0	600
191	0	600
192	0	600
193	600	600
194	302	600
195	299	576
196	286	562
197	297	547
198	293	538
199	300	529
200	278	514
201	270	504
202	271	489
203	278	480
204	256	476
205	267	461
206	251	451
207	230	442
208	250	432
209	250	423
210	242	413
211	238	409
212	236	394
213	251	390
214	265	380
215	251	370
216	246	360
217	229	350
218	244	345
219	251	335
220	247	330
221	243	316
222	238	310
223	256	300
224	494	294
225	235	284
226	228	267
227	260	261
228	264	251
229	234	244
230	235	234
231	246	224
232	237	217
233	240	210
234	235	203
235	251	193
236	247	186
237	330	178
238	252	170
239	222	157
240	242	149
241	217	141
242	267	133
243	279	127
244	246	118
245	218	109
246	230	101
247	222	94
248	287	86
249	275	79
250	235	69
251	268	61
252	289	53
253	263	45
254	183	38
255	0	36
