Limiar	Frequencia	Variancia
1	0	0
2	0	0
3	369	0
4	0	0
5	361	23
6	0	23
7	0	46
8	358	46
9	0	46
10	345	68
11	0	68
12	342	88
13	0	88
14	0	110
15	334	110
16	0	110
17	315	130
18	0	130
19	320	148
20	0	148
21	0	166
22	327	166
23	0	166
24	303	181
25	0	181
26	305	197
27	0	197
28	303	213
29	0	213
30	310	232
31	0	232
32	304	247
33	0	247
34	298	262
35	0	262
36	0	277
37	310	277
38	0	277
39	303	291
40	0	291
41	301	305
42	0	305
43	298	319
44	0	319
45	302	332
46	0	332
47	310	345
48	0	345
49	295	358
50	0	358
51	0	370
52	301	370
53	0	370
54	297	382
55	0	382
56	307	393
57	0	393
58	312	405
59	0	405
60	297	416
61	0	416
62	301	426
63	0	426
64	291	437
65	0	437
66	314	446
67	0	446
68	0	456
69	300	456
70	0	456
71	317	465
72	0	465
73	296	475
74	0	475
75	295	483
76	0	483
77	287	491
78	0	491
79	288	499
80	0	499
81	279	506
82	0	506
83	284	513
84	0	513
85	279	519
86	0	519
87	277	526
88	0	526
89	275	532
90	0	532
91	288	537
92	0	537
93	292	543
94	0	543
95	295	548
96	0	548
97	283	553
98	0	553
99	307	557
100	0	557
101	322	571
102	0	571
103	0	575
104	321	575
105	0	575
106	364	579
107	0	579
108	0	575
109	416	575
110	0	575
111	0	588
112	429	588
113	0	588
114	0	582
115	409	582
116	0	582
117	0	594
118	370	594
119	0	594
120	335	596
121	0	596
122	324	589
123	0	589
124	0	589
125	340	589
126	0	589
127	313	599
128	0	599
129	315	600
130	0	600
131	308	599
132	0	599
133	300	599
134	0	599
135	0	598
136	311	598
137	0	598
138	304	597
139	0	597
140	298	586
141	0	586
142	0	584
143	0	584
144	600	584
145	0	584
146	302	588
147	0	588
148	299	586
149	0	586
150	286	582
151	0	582
152	297	579
153	0	579
154	293	575
155	0	575
156	0	571
157	300	571
158	0	571
159	278	567
160	270	567
161	0	562
162	271	557
163	0	557
164	278	553
165	0	553
166	256	547
167	0	547
168	267	542
169	0	542
170	251	536
171	230	536
172	0	539
173	250	534
174	0	534
175	250	528
176	0	528
177	242	521
178	238	521
179	0	515
180	236	509
181	0	509
182	251	502
183	0	502
184	265	503
185	251	503
186	0	494
187	246	487
188	0	487
189	229	479
190	244	479
191	0	471
192	251	463
193	0	463
194	247	454
195	0	454
196	243	445
197	238	445
198	0	436
199	256	427
200	0	427
201	0	424
202	0	424
203	494	424
204	235	424
205	0	404
206	228	394
207	0	394
208	260	378
209	0	378
210	264	378
211	234	378
212	0	366
213	235	355
214	0	355
215	246	344
216	237	344
217	0	332
218	240	320
219	0	320
220	235	308
221	251	308
222	0	301
223	247	292
224	0	292
225	330	278
226	0	278
227	252	264
228	0	264
229	222	249
230	242	249
231	0	239
232	217	225
233	0	225
234	267	214
235	0	214
236	279	200
237	0	200
238	246	187
239	218	187
240	0	175
241	230	161
242	222	161
243	0	149
244	287	137
245	0	137
246	275	121
247	0	121
248	235	106
249	0	106
250	268	92
251	0	92
252	289	81
253	0	81
254	263	72
255	0	72
