Limiar	Frequencia	Variancia
1	17	0
2	17	0
3	16	11
4	16	22
5	16	34
6	15	45
7	15	55
8	15	65
9	14	76
10	14	84
11	14	95
12	13	102
13	13	113
14	13	121
15	14	130
16	13	138
17	13	146
18	14	154
19	13	162
20	13	170
21	13	181
22	13	185
23	14	196
24	13	200
25	13	211
26	13	218
27	14	225
28	14	237
29	13	240
30	13	251
31	13	253
32	14	265
33	13	267
34	14	278
35	13	285
36	13	292
37	13	298
38	13	304
39	12	310
40	12	316
41	12	321
42	12	332
43	12	332
44	13	343
45	13	342
46	13	354
47	12	353
48	14	364
49	14	363
50	14	375
51	16	380
52	19	386
53	19	391
54	18	405
55	16	412
56	15	418
57	14	423
58	15	428
59	14	440
60	14	437
61	14	449
62	13	453
63	14	457
64	13	461
65	13	473
66	14	468
67	13	480
68	13	483
69	13	486
70	13	490
71	13	493
72	13	495
73	13	507
74	12	501
75	12	512
76	12	515
77	12	517
78	11	528
79	12	521
80	11	532
81	10	534
82	11	535
83	11	537
84	11	539
85	10	549
86	10	541
87	11	552
88	12	544
89	11	554
90	11	565
91	10	557
92	11	567
93	11	558
94	11	568
95	11	560
96	10	570
97	11	571
98	11	571
99	10	572
100	10	572
101	10	582
102	11	573
103	12	582
104	10	582
105	10	582
106	11	582
107	10	582
108	11	582
109	10	582
110	11	591
111	11	591
112	15	590
113	11	590
114	10	589
115	11	597
116	9	587
117	12	596
118	12	585
119	11	594
120	9	583
121	10	591
122	10	600
123	13	589
124	12	597
125	10	586
126	12	593
127	13	592
128	12	590
129	8	587
130	8	595
131	7	584
132	6	582
133	6	590
134	4	589
135	3	588
136	3	587
137	3	586
138	3	585
139	2	584
140	3	575
141	3	583
142	3	582
143	1	582
144	1	581
145	0	581
146	0	580
147	0	580
148	0	580
149	0	580
150	0	580
151	0	579
152	0	579
153	0	579
154	0	579
155	0	570
156	0	570
157	0	570
158	0	579
159	0	578
160	0	578
161	0	578
162	0	578
163	1	578
164	1	578
165	1	578
166	6	577
167	8	577
168	6	575
169	5	564
170	4	563
171	5	553
172	7	552
173	6	559
174	6	548
175	6	546
176	12	545
177	8	534
178	5	531
179	6	529
180	12	527
181	15	517
182	11	513
183	7	500
184	11	489
185	18	487
186	21	483
187	29	470
188	30	456
189	33	431
190	23	414
191	25	396
192	88	374
193	600	359
194	0	309
195	0	0
196	0	0
197	0	0
198	0	0
199	0	0
200	0	0
201	0	0
202	0	0
203	0	0
204	0	0
205	0	0
206	0	0
207	0	0
208	0	0
209	0	0
210	0	0
211	0	0
212	0	0
213	0	0
214	0	0
215	0	0
216	0	0
217	0	0
218	0	0
219	0	0
220	0	0
221	0	0
222	0	0
223	0	0
224	0	0
225	0	0
226	0	0
227	0	0
228	0	0
229	0	0
230	0	0
231	0	0
232	0	0
233	0	0
234	0	0
235	0	0
236	0	0
237	0	0
238	0	0
239	0	0
240	0	0
241	0	0
242	0	0
243	0	0
244	0	0
245	0	0
246	0	0
247	0	0
248	0	0
249	0	0
250	0	0
251	0	0
252	0	0
253	0	0
254	0	0
255	0	0
