Limiar	Frequencia	Variancia
1	0	0
2	117	0
3	116	0
4	0	17
5	114	35
6	112	35
7	0	52
8	111	70
9	107	70
10	0	85
11	106	100
12	104	100
13	98	115
14	0	129
15	99	142
16	101	142
17	94	155
18	0	169
19	94	181
20	94	181
21	96	193
22	94	205
23	0	217
24	92	233
25	96	233
26	94	239
27	93	251
28	0	267
29	92	272
30	94	272
31	96	282
32	92	298
33	0	303
34	93	319
35	92	319
36	95	322
37	0	332
38	97	348
39	92	348
40	93	351
41	90	360
42	0	376
43	97	377
44	93	377
45	98	386
46	92	402
47	0	402
48	92	418
49	89	418
50	89	418
51	87	425
52	88	440
53	0	438
54	87	454
55	86	454
56	85	460
57	89	458
58	91	473
59	92	469
60	0	485
61	88	491
62	95	491
63	100	487
64	0	502
65	100	508
66	113	508
67	0	504
68	129	520
69	0	520
70	133	527
71	127	527
72	0	534
73	115	539
74	104	539
75	0	534
76	101	549
77	106	549
78	97	553
79	0	557
80	98	560
81	95	560
82	93	563
83	0	566
84	96	569
85	94	569
86	92	572
87	95	574
88	0	576
89	91	578
90	94	578
91	93	580
92	89	582
93	0	583
94	92	584
95	91	584
96	93	585
97	86	586
98	84	587
99	84	587
100	0	599
101	86	588
102	79	588
103	83	600
104	78	588
105	71	588
106	77	587
107	77	587
108	75	586
109	74	585
110	73	596
111	78	583
112	82	594
113	78	581
114	76	591
115	71	578
116	76	588
117	78	575
118	76	584
119	75	571
120	74	580
121	79	578
122	79	575
123	74	573
124	73	570
125	71	567
126	80	565
127	82	562
128	72	558
129	73	555
130	76	562
131	73	548
132	75	555
133	73	541
134	78	548
135	76	533
136	0	539
137	102	535
138	78	535
139	69	519
140	75	524
141	67	510
142	83	515
143	87	510
144	76	505
145	67	499
146	71	493
147	69	488
148	89	483
149	85	478
150	73	480
151	83	464
152	0	467
153	90	460
154	139	460
155	54	452
156	92	440
157	75	435
158	69	435
159	88	419
160	75	420
161	63	412
162	44	404
163	103	397
164	64	393
165	93	382
166	46	382
167	90	372
168	83	366
169	58	356
170	83	353
171	84	339
172	0	335
173	107	325
174	76	325
175	51	311
176	76	307
177	124	305
178	0	295
179	146	277
180	0	277
181	0	261
182	204	261
183	0	261
184	0	239
185	207	239
186	0	239
187	0	217
188	226	217
189	0	217
190	156	183
191	0	183
192	172	165
193	0	165
194	0	142
195	0	142
196	0	142
197	0	142
198	0	142
199	0	142
200	600	142
201	0	142
202	0	0
203	0	0
204	0	0
205	0	0
206	0	0
207	0	0
208	0	0
209	0	0
210	0	0
211	0	0
212	0	0
213	0	0
214	0	0
215	0	0
216	0	0
217	0	0
218	0	0
219	0	0
220	0	0
221	0	0
222	0	0
223	0	0
224	0	0
225	0	0
226	0	0
227	0	0
228	0	0
229	0	0
230	0	0
231	0	0
232	0	0
233	0	0
234	0	0
235	0	0
236	0	0
237	0	0
238	0	0
239	0	0
240	0	0
241	0	0
242	0	0
243	0	0
244	0	0
245	0	0
246	0	0
247	0	0
248	0	0
249	0	0
250	0	0
251	0	0
252	0	0
253	0	0
254	0	0
255	0	0
