Limiar	Frequencia	Variancia
1	6	0
2	8	0
3	3	0
4	28	0
5	152	0
6	517	1
7	281	5
8	66	17
9	91	24
10	489	25
11	600	28
12	368	40
13	414	54
14	356	63
15	286	71
16	285	81
17	375	87
18	378	93
19	458	101
20	421	111
21	462	120
22	553	129
23	532	141
24	575	151
25	478	165
26	408	179
27	450	188
28	381	199
29	280	207
30	221	218
31	356	222
32	284	226
33	322	236
34	311	241
35	315	245
36	306	255
37	316	260
38	304	270
39	292	274
40	299	278
41	316	288
42	299	291
43	302	301
44	297	305
45	295	315
46	292	311
47	274	321
48	259	331
49	249	333
50	224	343
51	225	338
52	234	347
53	262	356
54	332	350
55	368	359
56	390	362
57	407	371
58	386	374
59	333	391
60	307	392
61	301	402
62	301	402
63	294	411
64	319	412
65	309	420
66	319	420
67	326	429
68	315	437
69	297	445
70	297	444
71	283	452
72	272	451
73	268	458
74	264	465
75	253	472
76	256	479
77	235	478
78	236	484
79	260	482
80	227	489
81	250	495
82	238	493
83	230	499
84	245	505
85	226	511
86	237	516
87	236	513
88	228	518
89	220	523
90	219	520
91	209	533
92	202	529
93	187	534
94	189	539
95	201	535
96	201	540
97	193	552
98	197	548
99	187	552
100	178	555
101	191	551
102	191	555
103	165	566
104	158	561
105	147	564
106	133	568
107	137	564
108	140	568
109	134	572
110	129	575
111	137	571
112	137	574
113	137	578
114	151	581
115	141	576
116	130	586
117	127	589
118	127	584
119	112	586
120	113	589
121	110	592
122	111	587
123	110	590
124	114	593
125	103	596
126	111	590
127	99	593
128	96	595
129	89	598
130	86	593
131	96	589
132	90	592
133	100	594
134	89	597
135	108	591
136	103	594
137	99	595
138	96	596
139	78	598
140	81	592
141	74	595
142	66	597
143	67	600
144	80	595
145	76	591
146	82	593
147	75	595
148	77	596
149	71	598
150	62	586
151	58	588
152	52	591
153	55	593
154	49	589
155	44	592
156	49	589
157	51	585
158	47	588
159	48	585
160	49	588
161	40	584
162	46	587
163	45	590
164	41	580
165	42	583
166	38	580
167	38	583
168	40	580
169	37	583
170	39	580
171	36	583
172	33	573
173	33	570
174	32	574
175	35	571
176	35	575
177	34	572
178	33	568
179	37	572
180	28	569
181	31	565
182	32	563
183	30	560
184	31	563
185	33	561
186	32	564
187	24	561
188	31	558
189	30	562
190	32	559
191	33	550
192	30	553
193	29	550
194	27	547
195	27	550
196	25	548
197	27	545
198	25	548
199	27	546
200	27	537
201	29	535
202	27	538
203	25	535
204	23	532
205	23	536
206	26	533
207	28	531
208	24	528
209	27	531
210	26	523
211	28	520
212	27	518
213	27	520
214	26	518
215	28	515
216	30	512
217	27	515
218	31	512
219	30	503
220	30	500
221	31	502
222	30	499
223	34	496
224	31	493
225	30	494
226	32	491
227	32	483
228	34	479
229	31	481
230	33	477
231	35	474
232	40	470
233	42	467
234	39	462
235	44	458
236	51	453
237	56	453
238	59	448
239	68	437
240	82	435
241	94	427
242	111	418
243	125	407
244	152	399
245	165	385
246	196	367
247	231	351
248	291	328
249	328	303
250	380	270
251	408	236
252	365	196
253	329	156
254	230	121
255	0	102
