Limiar	Frequencia	Variancia
1	152	0
2	0	0
3	0	8
4	517	8
5	0	8
6	281	37
7	157	37
8	0	52
9	0	62
10	489	62
11	0	62
12	0	87
13	0	87
14	600	87
15	0	87
16	368	118
17	0	118
18	0	137
19	414	137
20	0	137
21	356	160
22	0	160
23	286	177
24	285	177
25	0	191
26	0	201
27	375	201
28	0	201
29	378	222
30	0	222
31	0	239
32	458	239
33	0	239
34	0	255
35	421	255
36	0	255
37	462	277
38	0	277
39	0	292
40	0	292
41	553	292
42	0	292
43	0	319
44	532	319
45	0	319
46	0	334
47	0	334
48	575	334
49	0	334
50	0	355
51	478	355
52	0	355
53	408	378
54	0	378
55	0	385
56	450	385
57	0	385
58	381	400
59	0	400
60	280	412
61	221	412
62	0	421
63	0	427
64	356	427
65	284	427
66	0	438
67	322	446
68	0	446
69	311	454
70	0	454
71	315	463
72	0	463
73	306	471
74	0	471
75	316	486
76	0	486
77	304	493
78	0	493
79	292	501
80	0	501
81	299	507
82	0	507
83	316	514
84	299	514
85	0	520
86	302	526
87	0	526
88	297	532
89	0	532
90	295	537
91	0	537
92	292	534
93	274	534
94	0	539
95	259	543
96	0	543
97	249	555
98	224	555
99	225	559
100	0	562
101	234	565
102	262	565
103	0	568
104	0	571
105	332	571
106	0	571
107	368	574
108	0	574
109	390	578
110	0	578
111	0	581
112	407	581
113	0	581
114	386	584
115	0	584
116	333	587
117	0	587
118	307	589
119	0	589
120	301	590
121	0	590
122	301	591
123	0	591
124	294	592
125	0	592
126	319	592
127	0	592
128	309	593
129	0	593
130	319	593
131	0	593
132	326	593
133	315	593
134	0	592
135	297	591
136	0	591
137	297	600
138	0	600
139	283	598
140	0	598
141	272	588
142	268	588
143	0	586
144	264	584
145	253	584
146	0	582
147	256	589
148	235	589
149	0	587
150	236	576
151	0	576
152	260	573
153	227	573
154	0	570
155	250	577
156	238	577
157	230	574
158	0	562
159	245	567
160	226	567
161	0	564
162	237	560
163	236	560
164	0	548
165	228	553
166	220	553
167	219	549
168	0	545
169	209	541
170	202	541
171	187	537
172	189	533
173	0	529
174	201	525
175	201	525
176	193	529
177	197	516
178	187	512
179	178	515
180	0	503
181	191	506
182	191	506
183	165	501
184	158	489
185	147	492
186	271	481
187	140	484
188	134	477
189	129	473
190	137	469
191	274	465
192	151	461
193	141	460
194	130	448
195	127	450
196	240	440
197	113	435
198	222	428
199	110	431
200	217	423
201	111	419
202	196	412
203	175	408
204	96	401
205	191	400
206	197	391
207	103	389
208	195	376
209	160	378
210	140	365
211	147	364
212	234	358
213	149	352
214	173	342
215	149	341
216	148	334
217	185	327
218	129	321
219	195	317
220	135	307
221	177	302
222	156	296
223	152	288
224	180	280
225	162	277
226	155	268
227	162	264
228	174	256
229	157	248
230	161	238
231	151	234
232	135	225
233	184	220
234	177	212
235	111	205
236	125	197
237	152	193
238	165	189
239	196	179
240	0	174
241	231	163
242	291	163
243	0	150
244	328	135
245	0	135
246	0	119
247	380	119
248	0	119
249	408	102
250	0	102
251	0	83
252	365	83
253	0	83
254	329	73
255	0	73
