Limiar	Frequencia	Variancia
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0
63	0	0
64	0	0
65	0	0
66	0	0
67	0	0
68	0	0
69	0	0
70	0	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
100	0	0
101	0	0
102	0	0
103	0	0
104	0	0
105	0	0
106	0	0
107	0	0
108	0	0
109	0	0
110	0	0
111	0	0
112	0	0
113	0	0
114	0	0
115	0	0
116	0	0
117	0	0
118	0	0
119	0	0
120	0	0
121	0	0
122	0	0
123	0	0
124	0	0
125	0	0
126	0	0
127	0	0
128	0	0
129	6	0
130	8	0
131	3	0
132	28	0
133	152	1
134	517	2
135	281	11
136	66	39
137	91	56
138	489	58
139	600	62
140	368	88
141	414	118
142	356	135
143	286	155
144	285	171
145	375	183
146	378	196
147	458	212
148	421	227
149	462	245
150	553	261
151	532	289
152	575	309
153	478	327
154	408	345
155	450	359
156	381	386
157	280	398
158	221	424
159	356	431
160	284	420
161	322	445
162	311	452
163	315	458
164	306	482
165	316	471
166	304	494
167	292	500
168	299	504
169	316	527
170	299	513
171	302	536
172	297	520
173	295	542
174	292	545
175	274	547
176	259	569
177	249	551
178	224	572
179	225	553
180	234	573
181	262	573
182	332	573
183	368	573
184	390	572
185	407	591
186	386	569
187	333	586
188	307	583
189	301	600
190	301	576
191	294	591
192	319	587
193	309	582
194	319	576
195	326	590
196	315	583
197	297	575
198	297	567
199	283	578
200	272	570
201	268	561
202	264	571
203	253	562
204	256	552
205	235	543
206	236	551
207	260	541
208	227	531
209	250	537
210	238	526
211	230	531
212	245	519
213	226	507
214	237	510
215	236	497
216	228	484
217	220	484
218	219	470
219	209	470
220	202	455
221	187	454
222	189	440
223	201	427
224	201	425
225	193	421
226	197	405
227	187	400
228	178	394
229	191	378
230	191	372
231	165	363
232	158	354
233	147	346
234	133	338
235	137	321
236	140	314
237	134	314
238	129	304
239	137	287
240	137	284
241	137	278
242	151	271
243	141	256
244	130	248
245	127	239
246	127	225
247	112	217
248	113	214
249	110	209
250	111	199
251	110	198
252	114	197
253	103	204
254	111	230
255	0	320
