Limiar	Frequencia	Variancia
1	152	0
2	0	0
3	0	9
4	0	9
5	517	9
6	0	9
7	281	42
8	157	42
9	0	60
10	0	70
11	0	70
12	489	70
13	0	70
14	0	98
15	0	98
16	600	98
17	0	98
18	368	135
19	0	135
20	0	156
21	414	156
22	0	156
23	0	176
24	356	176
25	0	176
26	286	198
27	0	198
28	285	213
29	0	213
30	0	228
31	375	228
32	0	228
33	378	247
34	0	247
35	0	262
36	458	262
37	0	262
38	0	288
39	421	288
40	0	288
41	0	303
42	0	303
43	462	303
44	0	303
45	0	328
46	0	328
47	553	328
48	0	328
49	0	352
50	532	352
51	0	352
52	0	373
53	0	373
54	575	373
55	0	373
56	0	396
57	0	396
58	478	396
59	0	396
60	0	413
61	408	413
62	0	413
63	0	421
64	450	421
65	0	421
66	0	443
67	381	443
68	0	443
69	280	448
70	221	448
71	0	464
72	0	470
73	356	470
74	0	470
75	284	473
76	0	473
77	322	481
78	0	481
79	311	489
80	0	489
81	315	497
82	0	497
83	306	513
84	0	513
85	0	520
86	316	520
87	0	520
88	304	527
89	0	527
90	292	533
91	0	533
92	299	539
93	0	539
94	316	545
95	0	545
96	299	550
97	0	550
98	302	555
99	0	555
100	0	560
101	297	560
102	0	560
103	295	564
104	0	564
105	292	568
106	0	568
107	274	572
108	259	572
109	0	575
110	249	577
111	0	577
112	224	580
113	225	580
114	0	582
115	234	583
116	0	583
117	262	585
118	0	585
119	332	596
120	0	596
121	0	588
122	368	588
123	0	588
124	0	589
125	390	589
126	0	589
127	407	600
128	0	600
129	0	591
130	386	591
131	0	591
132	0	590
133	333	590
134	0	590
135	307	599
136	0	599
137	301	598
138	0	598
139	301	596
140	0	596
141	294	595
142	0	595
143	319	584
144	0	584
145	309	581
146	0	581
147	0	578
148	319	578
149	0	578
150	326	575
151	0	575
152	315	581
153	0	581
154	297	577
155	0	577
156	297	573
157	0	573
158	283	568
159	0	568
160	272	564
161	0	564
162	268	559
163	0	559
164	264	554
165	0	554
166	253	549
167	0	549
168	256	544
169	235	544
170	0	539
171	236	534
172	0	534
173	260	537
174	0	537
175	227	531
176	250	531
177	0	525
178	238	519
179	0	519
180	230	504
181	245	504
182	0	498
183	226	491
184	0	491
185	237	492
186	236	492
187	0	485
188	228	478
189	220	478
190	0	471
191	219	463
192	209	463
193	0	463
194	202	449
195	187	449
196	0	442
197	189	442
198	201	442
199	201	435
200	0	427
201	193	413
202	197	413
203	187	412
204	0	404
205	178	396
206	191	396
207	191	389
208	0	381
209	165	372
210	158	372
211	147	371
212	133	358
213	137	357
214	140	351
215	134	344
216	267	338
217	137	336
218	137	323
219	151	312
220	141	309
221	130	302
222	127	299
223	127	292
224	112	285
225	113	282
226	222	272
227	110	270
228	114	257
229	214	255
230	99	244
231	186	239
232	86	229
233	187	225
234	100	216
235	197	210
236	103	201
237	99	194
238	174	187
239	155	183
240	133	173
241	156	164
242	158	157
243	149	149
244	121	139
245	157	133
246	145	124
247	145	117
248	132	108
249	122	101
250	156	93
251	135	88
252	139	79
253	162	74
254	123	71
255	0	86
