Limiar	Frequencia	Variancia
1	570	0
2	588	0
3	600	8
4	579	17
5	546	26
6	547	35
7	521	45
8	502	53
9	494	61
10	485	70
11	466	78
12	472	86
13	433	94
14	435	102
15	478	110
16	418	117
17	460	128
18	439	133
19	423	144
20	451	151
21	417	159
22	437	170
23	436	177
24	421	188
25	404	195
26	403	206
27	385	208
28	372	224
29	345	230
30	348	240
31	370	246
32	370	252
33	355	267
34	362	272
35	345	282
36	328	291
37	352	301
38	351	310
39	304	319
40	291	333
41	272	337
42	246	351
43	252	359
44	258	368
45	248	376
46	238	390
47	252	392
48	252	405
49	252	412
50	279	419
51	260	431
52	239	448
53	233	453
54	234	470
55	207	475
56	208	491
57	202	502
58	206	512
59	202	522
60	209	537
61	190	552
62	204	560
63	183	574
64	0	586
65	0	600
66	0	600
67	0	600
68	0	600
69	0	600
70	0	600
71	0	600
72	0	600
73	0	600
74	0	600
75	0	600
76	0	600
77	0	600
78	0	600
79	0	600
80	0	600
81	0	600
82	0	600
83	0	600
84	0	600
85	0	600
86	0	600
87	0	600
88	0	600
89	0	600
90	0	600
91	0	600
92	0	600
93	0	600
94	0	600
95	0	600
96	0	600
97	0	600
98	0	600
99	0	600
100	0	600
101	0	600
102	0	600
103	0	600
104	0	600
105	0	600
106	0	600
107	0	600
108	0	600
109	0	600
110	0	600
111	0	600
112	0	600
113	0	600
114	0	600
115	0	600
116	0	600
117	0	600
118	0	600
119	0	600
120	0	600
121	0	600
122	0	600
123	0	600
124	0	600
125	0	600
126	0	600
127	0	600
128	0	600
129	0	600
130	0	600
131	0	600
132	0	600
133	0	600
134	0	600
135	0	600
136	0	600
137	0	600
138	0	600
139	0	600
140	0	600
141	0	600
142	0	600
143	0	600
144	0	600
145	0	600
146	0	600
147	0	600
148	0	600
149	0	600
150	0	600
151	0	600
152	0	600
153	0	600
154	0	600
155	0	600
156	0	600
157	0	600
158	0	600
159	0	600
160	0	600
161	0	600
162	0	600
163	0	600
164	0	600
165	0	600
166	0	600
167	0	600
168	0	600
169	0	600
170	0	600
171	0	600
172	0	600
173	0	600
174	0	600
175	0	600
176	0	600
177	0	600
178	0	600
179	0	600
180	0	600
181	0	600
182	0	600
183	0	600
184	0	600
185	0	600
186	0	600
187	0	600
188	0	600
189	0	600
190	0	600
191	0	600
192	0	600
193	342	600
194	158	600
195	177	571
196	167	560
197	184	542
198	164	530
199	199	517
200	189	500
201	183	480
202	176	466
203	144	452
204	150	439
205	136	428
206	122	416
207	123	405
208	147	395
209	140	384
210	152	372
211	138	364
212	142	351
213	131	339
214	114	326
215	107	314
216	97	304
217	101	300
218	91	288
219	81	278
220	90	272
221	94	264
222	88	258
223	89	249
224	164	245
225	86	236
226	83	221
227	75	212
228	78	207
229	71	199
230	71	192
231	74	188
232	69	180
233	73	174
234	66	166
235	61	161
236	61	154
237	60	149
238	64	144
239	66	138
240	63	133
241	62	125
242	69	120
243	53	115
244	58	107
245	60	103
246	56	98
247	58	92
248	61	87
249	60	82
250	45	77
251	58	73
252	55	70
253	59	67
254	61	69
255	0	84
