Limiar	Frequencia	Variancia
1	0	0
2	0	0
3	0	0
4	0	0
5	570	0
6	0	0
7	0	44
8	0	44
9	0	44
10	588	44
11	0	44
12	0	88
13	0	88
14	0	88
15	600	88
16	0	88
17	0	131
18	0	131
19	0	131
20	579	131
21	0	131
22	0	171
23	0	171
24	0	171
25	546	171
26	0	171
27	0	210
28	0	210
29	0	210
30	547	210
31	0	210
32	0	241
33	0	241
34	0	241
35	521	241
36	0	241
37	0	272
38	0	272
39	502	272
40	0	272
41	0	306
42	0	306
43	494	306
44	0	306
45	0	333
46	0	333
47	485	333
48	0	333
49	0	352
50	0	352
51	0	352
52	466	352
53	0	352
54	0	375
55	0	375
56	472	375
57	0	375
58	0	397
59	433	397
60	0	397
61	0	423
62	0	423
63	435	423
64	0	423
65	0	441
66	0	441
67	478	441
68	0	441
69	0	460
70	0	460
71	418	460
72	0	460
73	0	475
74	0	475
75	460	475
76	0	475
77	0	491
78	0	491
79	439	491
80	0	491
81	0	505
82	0	505
83	423	505
84	0	505
85	0	518
86	0	518
87	451	518
88	0	518
89	0	530
90	417	530
91	0	530
92	0	540
93	0	540
94	437	540
95	0	540
96	0	542
97	0	542
98	436	542
99	0	542
100	0	550
101	0	550
102	421	550
103	0	550
104	0	566
105	404	566
106	0	566
107	0	572
108	0	572
109	403	572
110	0	572
111	0	578
112	385	578
113	0	578
114	0	582
115	372	582
116	0	582
117	0	585
118	345	585
119	0	585
120	0	587
121	348	587
122	0	587
123	0	589
124	0	589
125	370	589
126	0	589
127	0	590
128	370	590
129	0	590
130	0	600
131	355	600
132	0	600
133	0	590
134	362	590
135	0	590
136	0	589
137	345	589
138	0	589
139	0	587
140	328	587
141	0	587
142	0	594
143	352	594
144	0	594
145	0	581
146	351	581
147	0	581
148	0	586
149	304	586
150	0	586
151	291	573
152	0	573
153	0	578
154	272	578
155	0	578
156	246	574
157	0	574
158	252	569
159	0	569
160	258	564
161	0	564
162	248	551
163	0	551
164	238	545
165	0	545
166	0	548
167	252	548
168	0	548
169	252	542
170	0	542
171	252	535
172	0	535
173	0	528
174	279	528
175	0	528
176	260	520
177	0	520
178	239	520
179	0	520
180	233	512
181	0	512
182	234	504
183	0	504
184	207	496
185	0	496
186	208	488
187	202	488
188	0	481
189	206	473
190	0	473
191	202	464
192	0	464
193	209	456
194	190	456
195	0	447
196	204	446
197	0	446
198	183	436
199	0	436
200	0	428
201	342	428
202	158	428
203	0	405
204	177	403
205	167	403
206	0	394
207	184	386
208	164	386
209	0	376
210	199	373
211	0	373
212	189	362
213	183	362
214	0	351
215	176	340
216	144	340
217	150	330
218	0	326
219	136	317
220	122	317
221	123	313
222	147	301
223	140	293
224	0	288
225	152	278
226	138	278
227	142	272
228	131	262
229	114	252
230	107	247
231	97	238
232	101	234
233	173	223
234	90	219
235	94	208
236	88	204
237	89	196
238	164	192
239	169	184
240	75	173
241	149	163
242	71	158
243	143	147
244	73	144
245	127	132
246	121	128
247	130	120
248	126	111
249	122	102
250	118	95
251	115	86
252	61	80
253	164	74
254	114	72
255	0	81
