Limiar	Frequencia	Variancia
1	415	0
2	449	0
3	436	11
4	450	24
5	459	36
6	443	49
7	418	61
8	419	74
9	399	85
10	384	100
11	378	113
12	371	122
13	357	134
14	361	143
15	331	155
16	333	163
17	366	174
18	320	181
19	352	193
20	336	204
21	323	216
22	345	228
23	319	234
24	334	246
25	333	252
26	322	263
27	309	274
28	308	286
29	294	290
30	284	301
31	264	312
32	266	316
33	283	326
34	283	329
35	271	346
36	277	349
37	264	359
38	251	369
39	269	372
40	268	381
41	233	391
42	222	400
43	208	409
44	188	410
45	193	419
46	197	428
47	189	429
48	182	437
49	193	446
50	193	446
51	193	454
52	213	463
53	199	462
54	183	470
55	178	470
56	179	478
57	158	486
58	159	485
59	155	492
60	157	500
61	154	499
62	160	506
63	146	514
64	156	512
65	140	519
66	135	526
67	126	534
68	121	532
69	135	530
70	127	537
71	140	535
72	126	542
73	152	549
74	145	555
75	140	553
76	135	559
77	110	565
78	115	562
79	104	560
80	93	566
81	94	563
82	112	570
83	107	568
84	116	574
85	105	571
86	109	577
87	100	583
88	87	580
89	82	577
90	74	583
91	77	589
92	69	587
93	62	584
94	69	582
95	72	589
96	67	586
97	68	593
98	69	590
99	57	588
100	66	585
101	63	592
102	57	589
103	59	596
104	54	585
105	54	591
106	56	589
107	52	595
108	56	593
109	50	600
110	46	589
111	47	586
112	46	593
113	49	591
114	50	589
115	48	595
116	47	585
117	53	591
118	40	589
119	44	586
120	46	593
121	43	591
122	44	580
123	46	587
124	46	585
125	34	582
126	44	588
127	42	587
128	45	576
129	46	574
130	42	580
131	41	578
132	39	576
133	38	582
134	35	572
135	38	570
136	35	568
137	38	574
138	39	572
139	40	570
140	39	568
141	36	566
142	33	564
143	32	562
144	36	560
145	40	558
146	34	564
147	39	554
148	37	552
149	39	550
150	38	555
151	38	553
152	36	551
153	40	541
154	42	539
155	38	544
156	43	542
157	43	540
158	42	537
159	44	527
160	42	532
161	48	529
162	44	527
163	42	524
164	46	514
165	45	519
166	48	516
167	44	513
168	46	503
169	50	501
170	56	505
171	59	502
172	56	491
173	62	487
174	73	484
175	79	487
176	83	475
177	96	470
178	116	458
179	133	452
180	157	445
181	176	436
182	214	426
183	233	408
184	276	393
185	326	372
186	410	353
187	462	325
188	536	290
189	575	256
190	514	218
191	463	173
192	324	138
193	600	106
194	0	86
195	0	0
196	0	0
197	0	0
198	0	0
199	0	0
200	0	0
201	0	0
202	0	0
203	0	0
204	0	0
205	0	0
206	0	0
207	0	0
208	0	0
209	0	0
210	0	0
211	0	0
212	0	0
213	0	0
214	0	0
215	0	0
216	0	0
217	0	0
218	0	0
219	0	0
220	0	0
221	0	0
222	0	0
223	0	0
224	0	0
225	0	0
226	0	0
227	0	0
228	0	0
229	0	0
230	0	0
231	0	0
232	0	0
233	0	0
234	0	0
235	0	0
236	0	0
237	0	0
238	0	0
239	0	0
240	0	0
241	0	0
242	0	0
243	0	0
244	0	0
245	0	0
246	0	0
247	0	0
248	0	0
249	0	0
250	0	0
251	0	0
252	0	0
253	0	0
254	0	0
255	0	0
