Limiar	Frequencia	Variancia
1	0	0
2	0	0
3	433	0
4	0	0
5	0	31
6	0	31
7	469	31
8	0	31
9	0	64
10	0	64
11	455	64
12	0	64
13	0	95
14	469	95
15	0	95
16	0	128
17	0	128
18	478	128
19	0	128
20	0	159
21	0	159
22	462	159
23	0	159
24	0	188
25	436	188
26	0	188
27	0	211
28	0	211
29	437	211
30	0	211
31	0	236
32	416	236
33	0	236
34	0	264
35	401	264
36	0	264
37	0	281
38	394	281
39	0	281
40	0	306
41	387	306
42	0	306
43	0	321
44	372	321
45	0	321
46	0	344
47	377	344
48	0	344
49	0	356
50	345	356
51	0	356
52	0	378
53	347	378
54	0	378
55	0	393
56	382	393
57	0	393
58	334	409
59	0	409
60	0	423
61	367	423
62	0	423
63	0	430
64	350	430
65	0	430
66	0	450
67	338	450
68	0	450
69	0	462
70	360	462
71	0	462
72	333	474
73	0	474
74	0	485
75	349	485
76	0	485
77	0	496
78	348	496
79	0	496
80	336	506
81	0	506
82	0	515
83	323	515
84	0	515
85	0	523
86	321	523
87	0	523
88	307	531
89	0	531
90	297	538
91	0	538
92	0	545
93	275	545
94	0	545
95	278	550
96	0	550
97	295	555
98	0	555
99	295	570
100	0	570
101	0	565
102	283	565
103	0	565
104	289	569
105	0	569
106	275	573
107	0	573
108	262	577
109	0	577
110	281	579
111	0	579
112	0	582
113	280	582
114	0	582
115	243	584
116	232	584
117	0	586
118	217	587
119	0	587
120	196	588
121	201	588
122	0	589
123	206	599
124	198	599
125	0	599
126	190	600
127	0	600
128	201	590
129	201	590
130	0	590
131	201	599
132	222	599
133	0	598
134	208	597
135	0	597
136	191	596
137	186	596
138	0	586
139	187	594
140	165	594
141	166	592
142	0	591
143	162	589
144	164	589
145	161	588
146	167	586
147	0	584
148	152	582
149	163	582
150	146	580
151	141	578
152	131	575
153	126	573
154	141	571
155	133	578
156	0	567
157	147	573
158	131	573
159	159	561
160	151	568
161	146	564
162	141	552
163	115	558
164	120	546
165	109	552
166	97	541
167	98	547
168	230	536
169	121	542
170	110	536
171	114	532
172	105	529
173	177	526
174	77	523
175	153	518
176	138	515
177	145	511
178	71	506
179	131	510
180	135	499
181	123	503
182	173	491
183	113	494
184	101	488
185	148	484
186	103	473
187	147	474
188	140	470
189	95	465
190	131	459
191	140	455
192	128	450
193	117	451
194	118	439
195	156	441
196	114	429
197	116	429
198	122	423
199	125	418
200	130	412
201	134	407
202	141	400
203	95	400
204	146	387
205	111	388
206	121	381
207	141	375
208	82	369
209	188	367
210	121	362
211	0	352
212	138	345
213	164	345
214	184	337
215	0	328
216	223	317
217	0	317
218	243	313
219	0	313
220	288	298
221	0	298
222	0	280
223	340	280
224	0	280
225	0	262
226	428	262
227	0	262
228	0	236
229	0	236
230	482	236
231	0	236
232	0	207
233	0	207
234	0	207
235	559	207
236	0	207
237	0	174
238	0	174
239	600	174
240	0	174
241	0	135
242	0	135
243	0	135
244	536	135
245	0	135
246	0	101
247	484	101
248	0	101
249	0	75
250	338	75
251	0	75
252	0	0
253	0	0
254	0	0
255	0	0
