Limiar	Frequencia	Variancia
1	4	0
2	5	0
3	9	0
4	12	1
5	15	2
6	18	3
7	18	5
8	23	7
9	30	9
10	34	11
11	42	14
12	58	17
13	65	21
14	56	26
15	85	32
16	98	36
17	130	43
18	165	53
19	187	64
20	187	76
21	207	91
22	198	106
23	166	122
24	135	141
25	111	153
26	88	163
27	81	171
28	75	177
29	70	188
30	60	188
31	47	193
32	42	202
33	32	200
34	36	203
35	38	205
36	32	207
37	66	210
38	76	217
39	70	216
40	54	221
41	53	225
42	53	228
43	65	232
44	61	229
45	62	232
46	83	236
47	123	239
48	172	244
49	175	251
50	187	260
51	281	262
52	490	270
53	600	275
54	405	295
55	333	324
56	322	336
57	280	354
58	285	370
59	287	396
60	247	401
61	209	415
62	207	429
63	150	441
64	139	453
65	152	465
66	163	476
67	138	476
68	142	487
69	142	486
70	152	497
71	122	519
72	122	517
73	162	527
74	158	525
75	115	534
76	105	554
77	95	552
78	71	561
79	63	570
80	60	568
81	66	566
82	60	576
83	52	573
84	42	583
85	40	581
86	37	580
87	37	578
88	33	589
89	37	587
90	32	598
91	24	596
92	29	595
93	27	581
94	25	592
95	25	591
96	27	590
97	23	588
98	25	599
99	22	598
100	26	597
101	21	596
102	20	594
103	40	593
104	45	592
105	94	590
106	122	600
107	122	594
108	103	599
109	83	591
110	77	596
111	90	579
112	103	585
113	104	590
114	88	583
115	85	586
116	73	579
117	72	583
118	90	577
119	80	571
120	75	574
121	88	566
122	72	570
123	72	561
124	62	564
125	72	567
126	94	550
127	107	553
128	104	552
129	91	550
130	73	538
131	64	546
132	76	546
133	79	538
134	73	537
135	69	526
136	81	525
137	68	523
138	59	511
139	52	518
140	53	518
141	58	509
142	56	509
143	65	507
144	56	497
145	50	494
146	54	492
147	53	483
148	59	488
149	66	485
150	74	481
151	63	475
152	64	474
153	57	460
154	51	459
155	60	460
156	63	448
157	68	446
158	54	443
159	39	438
160	39	435
161	33	436
162	32	431
163	39	427
164	33	423
165	41	422
166	45	422
167	32	420
168	27	410
169	16	409
170	14	410
171	13	409
172	11	409
173	10	409
174	8	410
175	7	405
176	8	402
177	11	399
178	8	401
179	10	401
180	10	398
181	7	398
182	8	399
183	7	396
184	10	397
185	9	394
186	8	394
187	7	390
188	7	392
189	8	393
190	9	390
191	8	390
192	8	382
193	8	383
194	8	379
195	11	379
196	7	380
197	9	375
198	9	375
199	10	376
200	10	371
201	7	371
202	13	370
203	8	367
204	14	365
205	8	365
206	6	358
207	8	358
208	8	354
209	8	354
210	9	350
211	10	349
212	10	348
213	11	347
214	13	341
215	13	339
216	10	335
217	10	335
218	11	326
219	9	324
220	13	321
221	12	319
222	12	315
223	11	315
224	13	311
225	10	307
226	11	303
227	11	296
228	13	295
229	12	291
230	11	286
231	12	283
232	12	279
233	9	276
234	14	273
235	13	269
236	11	262
237	11	257
238	14	254
239	13	250
240	14	246
241	16	242
242	12	237
243	13	232
244	13	226
245	17	220
246	18	217
247	19	211
248	19	205
249	22	199
250	21	192
251	26	187
252	30	183
253	30	183
254	30	192
255	0	252
