Limiar	Frequencia	Variancia
1	65	0
2	53	0
3	77	9
4	58	17
5	65	28
6	56	37
7	85	45
8	0	54
9	98	66
10	0	66
11	130	80
12	0	80
13	0	96
14	165	96
15	0	96
16	187	120
17	0	120
18	0	142
19	187	142
20	0	142
21	0	169
22	0	169
23	207	169
24	0	169
25	0	191
26	198	191
27	0	191
28	166	215
29	0	215
30	135	234
31	0	234
32	111	249
33	88	249
34	0	262
35	81	276
36	75	276
37	70	280
38	60	288
39	90	295
40	68	302
41	71	316
42	66	318
43	0	330
44	76	331
45	125	331
46	53	344
47	53	356
48	65	356
49	61	366
50	62	367
51	83	378
52	0	378
53	123	391
54	0	391
55	0	402
56	172	402
57	0	402
58	0	417
59	175	417
60	0	417
61	0	424
62	187	424
63	0	424
64	0	446
65	0	446
66	281	446
67	0	446
68	0	459
69	0	459
70	0	459
71	0	459
72	0	459
73	490	459
74	0	459
75	0	492
76	0	492
77	0	492
78	0	492
79	0	492
80	0	492
81	0	492
82	0	492
83	600	492
84	0	492
85	0	518
86	0	518
87	0	518
88	0	518
89	405	518
90	0	518
91	0	537
92	0	537
93	0	537
94	333	537
95	0	537
96	0	550
97	0	550
98	0	550
99	322	550
100	0	550
101	0	570
102	0	570
103	280	570
104	0	570
105	0	578
106	0	578
107	0	578
108	285	578
109	0	578
110	0	586
111	0	586
112	287	586
113	0	586
114	0	582
115	0	582
116	247	582
117	0	582
118	0	586
119	209	586
120	0	586
121	0	597
122	0	597
123	207	597
124	0	597
125	150	589
126	0	589
127	139	599
128	0	599
129	152	600
130	0	600
131	0	599
132	163	599
133	0	599
134	138	599
135	0	599
136	142	598
137	0	598
138	142	587
139	0	587
140	0	586
141	152	586
142	0	586
143	122	593
144	0	593
145	122	591
146	0	591
147	162	588
148	0	588
149	0	585
150	158	585
151	115	585
152	0	581
153	105	578
154	95	578
155	71	575
156	63	572
157	60	570
158	66	568
159	60	565
160	52	563
161	83	561
162	37	568
163	71	556
164	70	563
165	81	551
166	50	557
167	76	553
168	49	551
169	81	548
170	45	545
171	0	541
172	94	539
173	0	539
174	122	534
175	122	534
176	0	528
177	103	521
178	83	521
179	0	515
180	77	518
181	90	518
182	0	505
183	103	500
184	104	500
185	0	501
186	88	494
187	85	494
188	73	480
189	72	474
190	90	476
191	0	464
192	80	464
193	75	464
194	88	458
195	72	452
196	72	445
197	62	440
198	0	440
199	72	428
200	94	428
201	0	429
202	107	421
203	104	421
204	0	411
205	91	402
206	73	402
207	64	393
208	76	386
209	79	386
210	73	373
211	69	365
212	0	363
213	81	356
214	68	356
215	59	348
216	106	340
217	58	339
218	56	327
219	65	316
220	56	315
221	50	307
222	108	301
223	59	299
224	66	286
225	0	279
226	74	275
227	63	275
228	121	262
229	51	258
230	60	246
231	63	239
232	68	231
233	54	223
234	79	216
235	65	212
236	73	204
237	41	194
238	77	186
239	83	182
240	56	173
241	72	162
242	59	155
243	66	147
244	66	140
245	59	130
246	68	123
247	62	116
248	59	107
249	73	100
250	66	93
251	56	85
252	54	78
253	63	74
254	56	73
255	0	87
