Limiar	Frequencia	Variancia
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0
63	0	0
64	0	0
65	0	0
66	0	0
67	0	0
68	0	0
69	0	0
70	0	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
100	0	0
101	0	0
102	0	0
103	0	0
104	0	0
105	0	0
106	0	0
107	0	0
108	0	0
109	0	0
110	0	0
111	0	0
112	0	0
113	0	0
114	0	0
115	0	0
116	0	0
117	0	0
118	0	0
119	0	0
120	0	0
121	0	0
122	0	0
123	0	0
124	0	0
125	0	0
126	0	0
127	0	0
128	7	0
129	4	0
130	5	1
131	9	3
132	12	4
133	15	6
134	18	9
135	18	12
136	23	17
137	30	20
138	34	24
139	42	31
140	58	37
141	65	44
142	56	55
143	85	65
144	98	75
145	130	91
146	165	104
147	187	121
148	187	147
149	207	176
150	198	203
151	166	224
152	135	260
153	111	281
154	88	298
155	81	312
156	75	323
157	70	345
158	60	341
159	47	349
160	42	356
161	32	375
162	36	366
163	38	369
164	32	373
165	66	377
166	76	381
167	70	388
168	54	396
169	53	387
170	53	392
171	65	397
172	61	402
173	62	408
174	83	414
175	123	403
176	172	410
177	175	419
178	187	415
179	281	427
180	490	421
181	600	419
182	405	440
183	333	460
184	322	448
185	280	472
186	285	474
187	287	494
188	247	512
189	209	507
190	207	522
191	150	537
192	139	529
193	152	544
194	163	558
195	138	550
196	142	562
197	142	553
198	152	564
199	122	573
200	122	561
201	162	570
202	158	558
203	115	581
204	105	583
205	95	569
206	71	594
207	63	600
208	60	571
209	66	580
210	60	589
211	52	597
212	42	587
213	40	578
214	37	571
215	37	581
216	33	575
217	37	585
218	32	579
219	24	589
220	29	583
221	27	561
222	25	572
223	25	567
224	27	562
225	23	573
226	25	567
227	22	562
228	26	557
229	21	568
230	20	546
231	40	542
232	45	537
233	94	544
234	122	534
235	122	512
236	103	497
237	83	466
238	77	452
239	90	430
240	103	420
241	104	417
242	88	385
243	85	372
244	73	351
245	72	339
246	90	319
247	80	306
248	75	289
249	88	271
250	72	256
251	72	236
252	62	228
253	72	222
254	94	223
255	0	256
