Limiar	Frequencia	Variancia
1	56	0
2	42	0
3	30	10
4	77	18
5	0	24
6	58	38
7	65	38
8	56	49
9	0	61
10	85	71
11	0	71
12	98	86
13	0	86
14	130	103
15	0	103
16	0	123
17	165	123
18	0	123
19	0	153
20	0	153
21	187	153
22	0	153
23	0	183
24	0	183
25	187	183
26	0	183
27	0	212
28	0	212
29	207	212
30	0	212
31	0	243
32	0	243
33	198	243
34	0	243
35	0	268
36	166	268
37	0	268
38	0	290
39	135	290
40	0	290
41	111	308
42	0	308
43	88	323
44	81	323
45	0	339
46	75	344
47	70	344
48	60	353
49	47	361
50	42	374
51	68	374
52	38	379
53	32	386
54	66	397
55	0	400
56	76	408
57	70	408
58	54	410
59	53	423
60	53	429
61	65	435
62	0	440
63	61	440
64	62	440
65	0	452
66	83	458
67	0	458
68	123	459
69	0	459
70	0	477
71	172	477
72	0	477
73	0	484
74	0	484
75	175	484
76	0	484
77	0	506
78	0	506
79	187	506
80	0	506
81	0	520
82	0	520
83	0	520
84	281	520
85	0	520
86	0	539
87	0	539
88	0	539
89	0	539
90	0	539
91	0	539
92	0	539
93	0	539
94	490	539
95	0	539
96	0	567
97	0	567
98	0	567
99	0	567
100	0	567
101	0	567
102	0	567
103	0	567
104	0	567
105	0	567
106	600	567
107	0	567
108	0	574
109	0	574
110	0	574
111	0	574
112	0	574
113	0	574
114	405	574
115	0	574
116	0	584
117	0	584
118	0	584
119	0	584
120	333	584
121	0	584
122	0	589
123	0	589
124	0	589
125	0	589
126	322	589
127	0	589
128	0	600
129	0	600
130	0	600
131	0	600
132	280	600
133	0	600
134	0	589
135	0	589
136	0	589
137	0	589
138	285	589
139	0	589
140	0	586
141	0	586
142	0	586
143	287	586
144	0	586
145	0	580
146	0	580
147	0	580
148	247	580
149	0	580
150	0	582
151	0	582
152	209	582
153	0	582
154	0	575
155	0	575
156	207	575
157	0	575
158	0	567
159	150	567
160	0	567
161	0	551
162	139	551
163	0	551
164	0	553
165	152	553
166	0	553
167	0	536
168	163	536
169	0	536
170	0	535
171	138	535
172	0	535
173	0	526
174	142	526
175	0	526
176	0	517
177	142	517
178	0	517
179	0	514
180	152	514
181	0	514
182	122	495
183	0	495
184	122	485
185	0	485
186	0	482
187	0	482
188	162	482
189	0	482
190	0	468
191	158	468
192	0	468
193	115	453
194	0	453
195	105	442
196	0	442
197	95	438
198	71	438
199	0	428
200	63	420
201	60	420
202	66	407
203	60	407
204	52	399
205	42	392
206	40	386
207	74	387
208	33	376
209	70	367
210	53	363
211	53	354
212	25	352
213	76	346
214	49	342
215	41	332
216	40	330
217	45	325
218	0	319
219	94	313
220	0	313
221	122	304
222	0	304
223	0	290
224	122	290
225	0	290
226	103	267
227	83	267
228	0	254
229	77	244
230	0	244
231	90	235
232	0	235
233	103	219
234	0	219
235	104	207
236	88	207
237	0	191
238	85	176
239	0	176
240	73	164
241	72	164
242	0	153
243	90	142
244	80	142
245	0	129
246	75	116
247	0	116
248	88	104
249	72	104
250	72	91
251	0	81
252	62	73
253	72	73
254	0	75
255	0	0
