Limiar	Frequencia	Variancia
1	466	0
2	499	0
3	423	13
4	435	29
5	436	43
6	465	56
7	373	71
8	374	85
9	496	99
10	485	111
11	353	131
12	321	149
13	292	163
14	217	174
15	195	184
16	184	196
17	204	200
18	184	208
19	161	219
20	131	223
21	123	230
22	113	237
23	114	244
24	103	246
25	114	248
26	100	254
27	73	261
28	91	262
29	85	264
30	77	270
31	77	271
32	84	277
33	73	278
34	76	280
35	70	281
36	80	287
37	64	288
38	63	294
39	123	290
40	140	296
41	288	302
42	376	304
43	375	313
44	316	327
45	256	341
46	238	349
47	277	367
48	315	374
49	320	380
50	270	392
51	260	409
52	225	421
53	221	432
54	276	448
55	245	453
56	232	469
57	270	484
58	222	494
59	223	508
60	191	523
61	222	538
62	289	546
63	327	566
64	0	578
65	0	600
66	0	600
67	0	600
68	0	600
69	0	600
70	0	600
71	0	600
72	0	600
73	0	600
74	0	600
75	0	600
76	0	600
77	0	600
78	0	600
79	0	600
80	0	600
81	0	600
82	0	600
83	0	600
84	0	600
85	0	600
86	0	600
87	0	600
88	0	600
89	0	600
90	0	600
91	0	600
92	0	600
93	0	600
94	0	600
95	0	600
96	0	600
97	0	600
98	0	600
99	0	600
100	0	600
101	0	600
102	0	600
103	0	600
104	0	600
105	0	600
106	0	600
107	0	600
108	0	600
109	0	600
110	0	600
111	0	600
112	0	600
113	0	600
114	0	600
115	0	600
116	0	600
117	0	600
118	0	600
119	0	600
120	0	600
121	0	600
122	0	600
123	0	600
124	0	600
125	0	600
126	0	600
127	0	600
128	0	600
129	0	600
130	0	600
131	0	600
132	0	600
133	0	600
134	0	600
135	0	600
136	0	600
137	0	600
138	0	600
139	0	600
140	0	600
141	0	600
142	0	600
143	0	600
144	0	600
145	0	600
146	0	600
147	0	600
148	0	600
149	0	600
150	0	600
151	0	600
152	0	600
153	0	600
154	0	600
155	0	600
156	0	600
157	0	600
158	0	600
159	0	600
160	0	600
161	0	600
162	0	600
163	0	600
164	0	600
165	0	600
166	0	600
167	0	600
168	0	600
169	0	600
170	0	600
171	0	600
172	0	600
173	0	600
174	0	600
175	0	600
176	0	600
177	0	600
178	0	600
179	0	600
180	0	600
181	0	600
182	0	600
183	0	600
184	0	600
185	0	600
186	0	600
187	0	600
188	0	600
189	0	600
190	0	600
191	0	600
192	0	600
193	600	600
194	224	600
195	197	552
196	232	537
197	242	523
198	223	496
199	212	480
200	250	465
201	208	450
202	182	432
203	161	412
204	164	398
205	178	390
206	172	377
207	199	363
208	172	354
209	153	339
210	167	325
211	165	316
212	181	303
213	204	289
214	226	279
215	193	263
216	197	249
217	175	236
218	156	223
219	185	209
220	193	199
221	211	188
222	165	177
223	121	161
224	223	151
225	98	141
226	121	129
227	103	120
228	126	113
229	137	106
230	98	99
231	84	90
232	50	84
233	45	78
234	41	75
235	35	72
236	33	70
237	26	68
238	23	65
239	27	64
240	34	62
241	26	61
242	32	58
243	31	57
244	22	55
245	26	53
246	22	52
247	31	51
248	29	50
249	24	49
250	22	48
251	24	49
252	27	50
253	28	53
254	26	61
255	0	93
