Limiar	Frequencia	Variancia
1	0	0
2	0	0
3	0	0
4	0	0
5	466	0
6	0	0
7	0	46
8	0	46
9	0	46
10	0	46
11	499	46
12	0	46
13	0	94
14	0	94
15	0	94
16	423	94
17	0	94
18	0	133
19	0	133
20	435	133
21	0	133
22	0	171
23	0	171
24	0	171
25	436	171
26	0	171
27	0	208
28	0	208
29	0	208
30	465	208
31	0	208
32	0	245
33	0	245
34	0	245
35	373	245
36	0	245
37	0	278
38	0	278
39	374	278
40	0	278
41	0	305
42	0	305
43	0	305
44	496	305
45	0	305
46	0	335
47	0	335
48	0	335
49	0	335
50	485	335
51	0	335
52	0	366
53	0	366
54	353	366
55	0	366
56	0	387
57	321	387
58	0	387
59	0	406
60	0	406
61	292	406
62	0	406
63	217	429
64	0	429
65	195	440
66	0	440
67	184	450
68	0	450
69	0	459
70	204	459
71	0	459
72	184	469
73	161	469
74	0	478
75	131	485
76	123	485
77	0	491
78	113	496
79	114	496
80	103	500
81	114	505
82	100	501
83	73	513
84	91	517
85	85	520
86	77	523
87	77	526
88	84	537
89	73	531
90	146	534
91	80	536
92	64	549
93	63	543
94	123	554
95	0	547
96	140	559
97	0	559
98	0	554
99	288	554
100	0	554
101	0	561
102	0	561
103	376	561
104	0	561
105	0	569
106	0	569
107	375	569
108	0	569
109	0	576
110	0	576
111	316	576
112	0	576
113	0	581
114	256	581
115	0	581
116	238	593
117	0	593
118	0	595
119	277	595
120	0	595
121	0	597
122	0	597
123	315	597
124	0	597
125	0	590
126	0	590
127	320	590
128	0	590
129	0	590
130	270	590
131	0	590
132	260	600
133	0	600
134	0	599
135	225	599
136	0	599
137	221	597
138	0	597
139	0	596
140	0	596
141	276	596
142	0	596
143	245	584
144	0	584
145	0	590
146	232	590
147	0	590
148	0	587
149	270	587
150	0	587
151	222	582
152	0	582
153	0	578
154	223	578
155	0	578
156	191	573
157	0	573
158	0	578
159	222	578
160	0	578
161	0	572
162	289	572
163	0	572
164	0	564
165	327	564
166	0	564
167	0	545
168	0	545
169	0	545
170	0	545
171	0	545
172	600	545
173	0	545
174	0	533
175	224	533
176	0	533
177	197	516
178	0	516
179	232	508
180	0	508
181	0	506
182	242	506
183	0	506
184	0	495
185	223	495
186	0	495
187	212	485
188	0	485
189	0	474
190	250	474
191	0	474
192	208	461
193	0	461
194	182	457
195	0	457
196	161	447
197	0	447
198	164	437
199	0	437
200	178	428
201	0	428
202	172	417
203	0	417
204	199	406
205	0	406
206	172	399
207	0	399
208	153	387
209	0	387
210	167	377
211	165	377
212	0	365
213	181	353
214	0	353
215	0	339
216	204	339
217	0	339
218	226	329
219	0	329
220	193	315
221	0	315
222	0	300
223	197	300
224	0	300
225	175	287
226	156	287
227	0	272
228	185	262
229	0	262
230	0	244
231	193	244
232	0	244
233	211	230
234	0	230
235	165	212
236	121	212
237	0	201
238	0	188
239	223	188
240	98	188
241	121	171
242	103	160
243	0	150
244	126	141
245	137	141
246	98	129
247	84	117
248	95	109
249	77	102
250	110	95
251	93	87
252	80	80
253	83	74
254	99	71
255	0	78
