Limiar	Frequencia	Variancia
1	554	0
2	511	0
3	560	22
4	600	44
5	508	67
6	522	92
7	523	119
8	558	139
9	448	163
10	449	184
11	595	205
12	583	221
13	423	255
14	385	274
15	350	295
16	260	307
17	234	327
18	221	344
19	244	350
20	221	357
21	194	373
22	157	369
23	147	385
24	136	389
25	136	403
26	124	407
27	137	410
28	120	413
29	88	416
30	109	430
31	102	432
32	92	424
33	92	426
34	101	439
35	88	442
36	91	444
37	84	434
38	96	436
39	77	449
40	75	451
41	147	453
42	168	443
43	346	457
44	451	460
45	450	467
46	380	474
47	307	480
48	286	485
49	332	489
50	378	479
51	384	495
52	324	498
53	313	500
54	270	501
55	266	516
56	331	516
57	294	530
58	278	530
59	325	516
60	267	529
61	267	528
62	229	540
63	267	538
64	347	550
65	393	548
66	382	558
67	337	554
68	269	549
69	236	570
70	279	566
71	290	575
72	268	569
73	254	563
74	300	570
75	250	577
76	218	569
77	193	575
78	197	582
79	214	589
80	206	569
81	239	588
82	207	593
83	184	584
84	201	588
85	198	581
86	218	584
87	245	588
88	272	578
89	232	590
90	236	588
91	210	587
92	188	585
93	222	584
94	231	583
95	253	591
96	198	586
97	146	590
98	144	596
99	123	584
100	118	594
101	146	594
102	124	583
103	151	591
104	165	589
105	118	594
106	101	587
107	60	594
108	54	593
109	49	596
110	42	600
111	39	584
112	32	589
113	28	593
114	32	590
115	41	596
116	32	592
117	39	596
118	38	592
119	26	596
120	31	591
121	26	588
122	37	593
123	35	580
124	29	585
125	27	580
126	29	585
127	32	581
128	33	586
129	31	582
130	32	577
131	32	581
132	32	577
133	41	581
134	28	568
135	33	570
136	34	566
137	36	570
138	37	565
139	26	568
140	48	562
141	32	566
142	52	559
143	29	554
144	25	546
145	32	549
146	32	545
147	30	548
148	34	543
149	38	538
150	39	540
151	43	534
152	48	528
153	48	528
154	39	520
155	36	519
156	42	512
157	34	513
158	48	512
159	44	499
160	45	498
161	41	490
162	48	488
163	39	487
164	41	478
165	42	470
166	48	463
167	47	461
168	42	458
169	46	455
170	45	446
171	33	437
172	54	434
173	48	427
174	43	421
175	43	417
176	54	413
177	48	398
178	52	392
179	60	386
180	45	380
181	49	366
182	51	361
183	62	354
184	66	346
185	70	340
186	71	324
187	83	314
188	78	304
189	96	289
190	112	275
191	110	260
192	112	241
193	538	226
194	0	207
195	0	0
196	0	0
197	0	0
198	0	0
199	0	0
200	0	0
201	0	0
202	0	0
203	0	0
204	0	0
205	0	0
206	0	0
207	0	0
208	0	0
209	0	0
210	0	0
211	0	0
212	0	0
213	0	0
214	0	0
215	0	0
216	0	0
217	0	0
218	0	0
219	0	0
220	0	0
221	0	0
222	0	0
223	0	0
224	0	0
225	0	0
226	0	0
227	0	0
228	0	0
229	0	0
230	0	0
231	0	0
232	0	0
233	0	0
234	0	0
235	0	0
236	0	0
237	0	0
238	0	0
239	0	0
240	0	0
241	0	0
242	0	0
243	0	0
244	0	0
245	0	0
246	0	0
247	0	0
248	0	0
249	0	0
250	0	0
251	0	0
252	0	0
253	0	0
254	0	0
255	0	0
