Limiar	Frequencia	Variancia
1	0	0
2	0	0
3	0	0
4	554	0
5	0	0
6	0	40
7	0	40
8	511	40
9	0	40
10	0	77
11	0	77
12	0	77
13	560	77
14	0	77
15	0	115
16	0	115
17	0	115
18	600	115
19	0	115
20	0	155
21	0	155
22	508	155
23	0	155
24	0	184
25	0	184
26	522	184
27	0	184
28	0	215
29	0	215
30	523	215
31	0	215
32	0	245
33	0	245
34	0	245
35	558	245
36	0	245
37	0	276
38	448	276
39	0	276
40	0	299
41	0	299
42	449	299
43	0	299
44	0	327
45	0	327
46	595	327
47	0	327
48	0	350
49	0	350
50	0	350
51	583	350
52	0	350
53	0	383
54	423	383
55	0	383
56	0	395
57	385	395
58	0	395
59	0	417
60	350	417
61	0	417
62	260	424
63	0	424
64	234	434
65	0	434
66	221	443
67	0	443
68	244	458
69	0	458
70	221	466
71	194	466
72	0	474
73	157	480
74	147	480
75	136	477
76	136	490
77	124	494
78	137	498
79	120	502
80	198	506
81	102	509
82	92	523
83	92	517
84	189	520
85	91	522
86	180	527
87	77	529
88	75	542
89	147	535
90	168	537
91	0	549
92	0	552
93	346	552
94	0	552
95	0	551
96	0	551
97	451	551
98	0	551
99	0	568
100	450	568
101	0	568
102	0	575
103	380	575
104	0	575
105	0	572
106	307	572
107	0	572
108	286	575
109	0	575
110	0	579
111	332	579
112	0	579
113	0	591
114	378	591
115	0	591
116	0	585
117	384	585
118	0	585
119	324	597
120	0	597
121	0	589
122	313	589
123	0	589
124	270	590
125	0	590
126	266	599
127	0	599
128	0	600
129	331	600
130	0	600
131	294	599
132	0	599
133	278	589
134	0	589
135	0	588
136	325	588
137	0	588
138	267	595
139	0	595
140	267	594
141	0	594
142	229	591
143	0	591
144	267	589
145	0	589
146	0	586
147	347	586
148	0	586
149	0	582
150	393	582
151	0	582
152	0	577
153	382	577
154	0	577
155	0	580
156	337	580
157	0	580
158	269	565
159	0	565
160	236	560
161	0	560
162	279	555
163	0	555
164	290	549
165	0	549
166	268	542
167	0	542
168	254	544
169	0	544
170	0	538
171	300	538
172	0	538
173	250	529
174	218	529
175	0	522
176	193	516
177	0	516
178	197	510
179	214	510
180	0	503
181	206	489
182	0	489
183	239	489
184	207	489
185	0	481
186	184	474
187	201	474
188	0	467
189	198	459
190	0	459
191	218	459
192	0	459
193	245	450
194	0	450
195	272	440
196	0	440
197	232	428
198	0	428
199	236	418
200	210	418
201	0	407
202	188	397
203	0	397
204	222	388
205	231	388
206	0	377
207	253	366
208	0	366
209	198	358
210	146	358
211	144	353
212	123	340
213	118	332
214	146	330
215	124	319
216	0	315
217	151	308
218	165	308
219	118	304
220	161	294
221	146	287
222	133	277
223	112	267
224	123	263
225	130	259
226	127	251
227	139	246
228	96	237
229	148	228
230	114	221
231	120	213
232	111	208
233	141	202
234	118	194
235	127	185
236	136	176
237	123	171
238	138	162
239	126	156
240	103	145
241	141	138
242	101	130
243	155	123
244	114	116
245	136	106
246	71	99
247	162	91
248	96	86
249	112	78
250	110	74
251	112	74
252	0	86
253	0	0
254	0	0
255	0	0
