Limiar	Frequencia	Variancia
1	600	0
2	514	0
3	448	29
4	296	55
5	210	79
6	402	94
7	283	105
8	349	126
9	243	141
10	257	161
11	158	172
12	184	189
13	171	194
14	171	204
15	171	215
16	164	222
17	158	233
18	184	243
19	171	250
20	197	261
21	164	272
22	118	280
23	118	291
24	131	300
25	164	300
26	151	309
27	184	320
28	125	326
29	164	338
30	92	342
31	138	353
32	112	356
33	98	361
34	178	370
35	145	379
36	171	385
37	85	390
38	98	401
39	92	404
40	92	413
41	98	410
42	79	419
43	151	422
44	92	430
45	105	435
46	59	438
47	105	441
48	92	443
49	131	451
50	118	454
51	118	464
52	59	467
53	72	471
54	105	472
55	118	480
56	98	483
57	92	486
58	32	495
59	65	497
60	59	498
61	79	500
62	112	508
63	85	503
64	118	512
65	65	508
66	65	517
67	72	525
68	19	520
69	52	521
70	39	528
71	79	530
72	52	530
73	39	532
74	59	533
75	39	534
76	59	542
77	79	536
78	59	537
79	65	545
80	72	546
81	72	541
82	105	549
83	79	550
84	72	552
85	85	560
86	65	555
87	79	563
88	72	564
89	72	558
90	92	566
91	46	567
92	52	569
93	59	569
94	72	577
95	79	571
96	26	572
97	65	573
98	72	573
99	98	574
100	79	581
101	112	575
102	85	583
103	72	584
104	59	585
105	52	586
106	105	586
107	98	587
108	65	588
109	65	588
110	65	589
111	105	589
112	79	597
113	52	590
114	105	598
115	39	591
116	98	598
117	65	598
118	92	599
119	39	599
120	46	599
121	65	599
122	39	599
123	72	592
124	92	599
125	39	599
126	39	600
127	46	599
128	52	599
129	46	592
130	32	599
131	65	599
132	52	599
133	39	592
134	72	599
135	65	599
136	46	592
137	46	599
138	72	598
139	98	591
140	65	598
141	65	590
142	65	597
143	65	597
144	125	589
145	92	596
146	125	588
147	79	594
148	125	593
149	85	586
150	92	592
151	98	584
152	138	590
153	98	582
154	92	580
155	98	579
156	79	578
157	52	576
158	79	575
159	52	574
160	85	573
161	72	572
162	79	564
163	92	570
164	79	562
165	98	567
166	72	559
167	46	564
168	92	556
169	46	555
170	59	560
171	59	552
172	46	551
173	46	557
174	59	549
175	65	548
176	65	554
177	98	546
178	52	544
179	46	542
180	32	541
181	98	540
182	72	539
183	52	537
184	32	535
185	52	527
186	98	533
187	39	532
188	79	523
189	92	522
190	131	520
191	79	518
192	85	514
193	65	506
194	79	510
195	72	508
196	52	499
197	59	503
198	72	496
199	118	494
200	98	486
201	145	488
202	59	479
203	72	475
204	112	473
205	98	465
206	105	467
207	72	458
208	79	454
209	65	452
210	98	444
211	118	447
212	118	438
213	92	440
214	138	430
215	151	421
216	112	421
217	85	416
218	125	406
219	79	403
220	118	398
221	158	390
222	118	390
223	112	379
224	131	374
225	79	365
226	164	359
227	92	356
228	145	345
229	151	345
230	98	334
231	158	328
232	105	319
233	171	312
234	138	307
235	105	299
236	112	289
237	112	284
238	145	279
239	164	273
240	138	263
241	184	255
242	243	248
243	125	239
244	210	223
245	283	217
246	210	206
247	369	188
248	197	177
249	349	156
250	290	147
251	309	126
252	362	112
253	487	96
254	520	77
255	0	54
