Limiar	Frequencia	Variancia
1	0	0
2	0	0
3	0	0
4	0	0
5	600	0
6	0	0
7	0	47
8	0	47
9	0	47
10	514	47
11	0	47
12	0	85
13	0	85
14	448	85
15	0	85
16	0	118
17	296	118
18	210	118
19	0	141
20	0	156
21	0	156
22	402	156
23	0	156
24	283	184
25	0	184
26	0	202
27	0	202
28	349	202
29	0	202
30	243	225
31	0	225
32	257	240
33	158	240
34	0	256
35	184	266
36	0	266
37	171	277
38	171	277
39	0	291
40	171	301
41	164	301
42	0	306
43	158	315
44	184	315
45	0	329
46	171	339
47	197	339
48	0	343
49	164	353
50	118	353
51	118	367
52	131	367
53	0	379
54	164	385
55	151	385
56	0	387
57	184	400
58	125	400
59	164	409
60	92	408
61	138	421
62	112	425
63	98	431
64	0	436
65	178	440
66	145	440
67	0	447
68	257	453
69	98	453
70	92	463
71	92	467
72	178	470
73	0	474
74	151	480
75	197	480
76	59	485
77	105	492
78	92	494
79	131	497
80	118	500
81	118	504
82	131	508
83	105	511
84	118	515
85	98	518
86	125	521
87	125	524
88	79	527
89	112	530
90	85	532
91	184	535
92	65	546
93	145	550
94	118	543
95	92	555
96	98	548
97	138	550
98	125	552
99	72	564
100	72	557
101	184	558
102	72	568
103	151	572
104	79	573
105	145	575
106	92	576
107	98	578
108	131	570
109	105	581
110	138	573
111	98	583
112	79	576
113	112	586
114	158	586
115	112	587
116	105	579
117	98	589
118	131	581
119	65	591
120	105	582
121	131	592
122	145	592
123	98	592
124	65	584
125	178	593
126	105	593
127	72	593
128	171	593
129	98	593
130	79	593
131	158	593
132	72	592
133	158	592
134	72	591
135	98	591
136	131	600
137	131	590
138	125	598
139	92	588
140	125	587
141	79	586
142	125	594
143	85	584
144	92	591
145	98	581
146	138	589
147	98	579
148	191	586
149	79	576
150	131	573
151	52	571
152	158	578
153	79	568
154	171	575
155	98	564
156	118	570
157	92	568
158	105	565
159	151	563
160	59	561
161	131	557
162	151	556
163	79	553
164	98	558
165	158	547
166	52	544
167	138	540
168	79	539
169	92	535
170	131	532
171	164	530
172	65	534
173	151	521
174	112	527
175	72	514
176	118	518
177	98	507
178	145	511
179	131	500
180	112	503
181	98	498
182	105	493
183	151	490
184	65	485
185	98	479
186	118	477
187	118	473
188	92	468
189	138	463
190	151	466
191	112	453
192	85	453
193	125	447
194	79	443
195	118	437
196	158	434
197	0	428
198	230	426
199	0	426
200	210	415
201	0	415
202	164	403
203	92	403
204	145	394
205	151	383
206	98	381
207	0	373
208	158	372
209	105	372
210	171	358
211	138	357
212	105	346
213	112	338
214	112	331
215	145	324
216	0	321
217	164	312
218	138	312
219	0	301
220	184	296
221	0	296
222	243	283
223	125	283
224	0	269
225	210	260
226	0	260
227	283	244
228	0	244
229	210	229
230	0	229
231	0	215
232	0	215
233	369	215
234	197	215
235	0	187
236	0	177
237	349	177
238	0	177
239	0	151
240	290	151
241	0	151
242	0	132
243	309	132
244	0	132
245	0	108
246	362	108
247	0	108
248	0	84
249	0	84
250	487	84
251	0	84
252	0	0
253	0	0
254	0	0
255	0	0
