Limiar	Frequencia	Variancia
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0
63	0	0
64	0	0
65	0	0
66	0	0
67	0	0
68	0	0
69	0	0
70	0	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
100	0	0
101	0	0
102	0	0
103	0	0
104	0	0
105	0	0
106	0	0
107	0	0
108	0	0
109	0	0
110	0	0
111	0	0
112	0	0
113	0	0
114	0	0
115	0	0
116	0	0
117	0	0
118	0	0
119	0	0
120	0	0
121	0	0
122	0	0
123	0	0
124	0	0
125	0	0
126	0	0
127	0	0
128	600	0
129	0	0
130	0	3
131	0	3
132	0	3
133	0	3
134	0	3
135	0	3
136	0	3
137	0	4
138	0	4
139	0	4
140	0	4
141	0	4
142	0	4
143	0	4
144	0	4
145	0	4
146	0	4
147	0	4
148	0	4
149	0	4
150	0	5
151	0	5
152	0	5
153	0	5
154	0	5
155	0	5
156	0	5
157	0	5
158	0	5
159	0	5
160	0	5
161	0	5
162	0	5
163	0	5
164	0	6
165	0	6
166	0	6
167	0	6
168	0	6
169	0	6
170	0	6
171	0	6
172	0	6
173	0	6
174	0	6
175	0	7
176	0	7
177	0	7
178	0	7
179	0	7
180	0	7
181	0	7
182	0	7
183	0	7
184	0	7
185	0	7
186	0	8
187	0	8
188	0	8
189	0	8
190	0	8
191	0	8
192	0	8
193	0	8
194	0	8
195	0	9
196	0	9
197	0	9
198	0	9
199	0	9
200	0	9
201	0	9
202	0	9
203	0	9
204	0	9
205	0	9
206	0	10
207	0	10
208	0	10
209	0	10
210	0	10
211	0	10
212	0	11
213	0	11
214	0	11
215	0	11
216	0	11
217	0	12
218	0	12
219	0	12
220	0	13
221	0	13
222	0	13
223	0	13
224	0	14
225	0	14
226	0	14
227	0	14
228	0	15
229	0	15
230	0	16
231	0	17
232	0	17
233	0	18
234	0	19
235	0	19
236	0	20
237	0	22
238	0	23
239	0	24
240	0	25
241	0	28
242	0	30
243	0	32
244	0	36
245	0	37
246	0	43
247	0	48
248	0	58
249	0	63
250	0	71
251	0	87
252	0	100
253	0	141
254	0	301
255	0	600
