Limiar	Frequencia	Variancia
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0
63	0	0
64	600	0
65	0	0
66	0	14
67	0	14
68	0	15
69	0	15
70	0	16
71	0	16
72	0	16
73	0	16
74	0	17
75	0	17
76	0	17
77	0	17
78	0	18
79	0	18
80	0	18
81	0	18
82	0	18
83	0	19
84	0	19
85	0	19
86	0	19
87	0	19
88	0	20
89	0	20
90	0	20
91	0	20
92	0	20
93	0	20
94	0	21
95	0	21
96	0	21
97	0	21
98	0	21
99	0	21
100	0	22
101	0	22
102	0	22
103	0	22
104	0	22
105	0	22
106	0	22
107	0	23
108	0	23
109	0	23
110	0	23
111	0	23
112	0	23
113	0	24
114	0	24
115	0	24
116	0	24
117	0	24
118	0	24
119	0	25
120	0	25
121	0	25
122	0	25
123	0	25
124	0	25
125	0	25
126	0	25
127	0	25
128	0	26
129	0	26
130	0	26
131	0	26
132	0	26
133	0	26
134	0	26
135	0	27
136	0	27
137	0	27
138	0	27
139	0	27
140	0	27
141	0	27
142	0	27
143	0	27
144	0	27
145	0	28
146	0	28
147	0	28
148	0	28
149	0	28
150	0	28
151	0	28
152	0	29
153	0	29
154	0	29
155	0	29
156	0	29
157	0	29
158	0	29
159	0	29
160	0	30
161	0	30
162	0	30
163	0	30
164	0	30
165	0	30
166	0	31
167	0	31
168	0	31
169	0	31
170	0	31
171	0	31
172	0	32
173	0	32
174	0	32
175	0	32
176	0	32
177	0	33
178	0	33
179	0	33
180	0	33
181	0	34
182	0	34
183	0	34
184	0	34
185	0	35
186	0	35
187	0	35
188	0	35
189	0	35
190	0	36
191	0	36
192	0	36
193	0	36
194	0	36
195	0	36
196	0	37
197	0	37
198	0	37
199	0	37
200	0	37
201	0	38
202	0	38
203	0	38
204	0	39
205	0	39
206	0	39
207	0	40
208	0	40
209	0	40
210	0	41
211	0	42
212	0	43
213	0	43
214	0	44
215	0	45
216	0	45
217	0	46
218	0	48
219	0	49
220	0	50
221	0	51
222	0	52
223	0	53
224	0	54
225	0	55
226	0	56
227	0	58
228	0	59
229	0	61
230	0	63
231	0	66
232	0	68
233	0	70
234	0	73
235	0	75
236	0	77
237	0	80
238	0	82
239	0	85
240	0	88
241	0	92
242	0	97
243	0	106
244	0	111
245	0	117
246	0	121
247	0	136
248	0	151
249	0	164
250	0	174
251	0	192
252	0	242
253	0	271
254	0	360
255	0	600
