Limiar	Frequencia	Variancia
1	250	0
2	250	0
3	275	8
4	75	16
5	200	25
6	150	28
7	300	35
8	200	40
9	150	50
10	225	56
11	150	61
12	225	68
13	300	74
14	225	80
15	250	89
16	275	98
17	275	105
18	400	115
19	300	122
20	275	136
21	325	146
22	250	156
23	300	167
24	275	174
25	275	187
26	350	194
27	175	204
28	200	216
29	225	223
30	275	228
31	300	237
32	100	243
33	250	257
34	275	256
35	375	269
36	300	275
37	425	291
38	325	301
39	275	314
40	225	329
41	200	339
42	400	347
43	375	351
44	250	367
45	250	383
46	250	392
47	400	401
48	300	415
49	200	426
50	400	436
51	150	449
52	375	465
53	250	472
54	350	482
55	150	495
56	175	510
57	250	517
58	150	530
59	275	538
60	350	545
61	150	559
62	150	573
63	175	586
64	0	586
65	0	600
66	0	600
67	0	600
68	0	600
69	0	600
70	0	600
71	0	600
72	0	600
73	0	600
74	0	600
75	0	600
76	0	600
77	0	600
78	0	600
79	0	600
80	0	600
81	0	600
82	0	600
83	0	600
84	0	600
85	0	600
86	0	600
87	0	600
88	0	600
89	0	600
90	0	600
91	0	600
92	0	600
93	0	600
94	0	600
95	0	600
96	0	600
97	0	600
98	0	600
99	0	600
100	0	600
101	0	600
102	0	600
103	0	600
104	0	600
105	0	600
106	0	600
107	0	600
108	0	600
109	0	600
110	0	600
111	0	600
112	0	600
113	0	600
114	0	600
115	0	600
116	0	600
117	0	600
118	0	600
119	0	600
120	0	600
121	0	600
122	0	600
123	0	600
124	0	600
125	0	600
126	0	600
127	0	600
128	0	600
129	0	600
130	0	600
131	0	600
132	0	600
133	0	600
134	0	600
135	0	600
136	0	600
137	0	600
138	0	600
139	0	600
140	0	600
141	0	600
142	0	600
143	0	600
144	0	600
145	0	600
146	0	600
147	0	600
148	0	600
149	0	600
150	0	600
151	0	600
152	0	600
153	0	600
154	0	600
155	0	600
156	0	600
157	0	600
158	0	600
159	0	600
160	0	600
161	0	600
162	0	600
163	0	600
164	0	600
165	0	600
166	0	600
167	0	600
168	0	600
169	0	600
170	0	600
171	0	600
172	0	600
173	0	600
174	0	600
175	0	600
176	0	600
177	0	600
178	0	600
179	0	600
180	0	600
181	0	600
182	0	600
183	0	600
184	0	600
185	0	600
186	0	600
187	0	600
188	0	600
189	0	600
190	0	600
191	0	600
192	0	600
193	375	600
194	125	600
195	250	576
196	200	570
197	150	564
198	275	552
199	250	546
200	175	534
201	175	521
202	275	521
203	375	509
204	250	496
205	250	483
206	250	475
207	250	463
208	475	450
209	350	443
210	475	428
211	300	414
212	475	393
213	325	385
214	350	364
215	375	355
216	525	346
217	375	331
218	350	319
219	375	304
220	300	294
221	200	283
222	300	277
223	200	270
224	600	260
225	300	253
226	350	237
227	300	227
228	375	217
229	275	210
230	175	198
231	350	192
232	175	185
233	225	179
234	225	172
235	175	166
236	175	161
237	225	154
238	250	151
239	250	145
240	375	138
241	200	131
242	175	119
243	125	113
244	375	110
245	275	106
246	200	96
247	125	88
248	200	82
249	375	78
250	150	73
251	300	62
252	350	59
253	500	49
254	300	40
255	0	31
