Limiar	Frequencia	Variancia
1	0	0
2	250	0
3	0	0
4	250	17
5	0	17
6	350	33
7	0	33
8	200	57
9	150	57
10	0	71
11	300	81
12	0	81
13	200	100
14	150	100
15	0	111
16	225	122
17	150	122
18	225	136
19	0	143
20	0	156
21	300	156
22	225	156
23	0	174
24	250	186
25	0	186
26	275	201
27	0	201
28	275	216
29	0	216
30	0	231
31	400	231
32	0	231
33	0	256
34	300	256
35	0	256
36	275	271
37	0	271
38	325	285
39	0	285
40	250	297
41	0	297
42	300	314
43	0	314
44	275	323
45	0	323
46	275	335
47	0	335
48	0	347
49	350	347
50	175	347
51	0	368
52	200	370
53	225	370
54	0	384
55	275	393
56	0	393
57	0	404
58	400	404
59	0	404
60	250	419
61	0	419
62	275	422
63	0	422
64	0	439
65	375	439
66	0	439
67	300	452
68	0	452
69	0	462
70	0	462
71	425	462
72	0	462
73	325	475
74	0	475
75	275	485
76	0	485
77	225	493
78	200	493
79	0	499
80	0	505
81	400	505
82	0	505
83	0	515
84	375	515
85	0	515
86	250	524
87	0	524
88	250	522
89	0	522
90	250	535
91	0	535
92	0	540
93	400	540
94	0	540
95	300	548
96	200	548
97	0	554
98	0	557
99	400	557
100	0	557
101	150	563
102	0	563
103	375	566
104	0	566
105	250	571
106	0	571
107	0	574
108	350	574
109	150	574
110	175	587
111	0	579
112	250	581
113	150	581
114	0	583
115	275	584
116	0	584
117	0	595
118	350	595
119	150	595
120	150	588
121	0	588
122	175	589
123	0	589
124	375	599
125	125	599
126	0	590
127	250	599
128	0	599
129	200	600
130	150	600
131	0	590
132	275	599
133	0	599
134	250	598
135	175	598
136	175	598
137	0	597
138	275	587
139	0	587
140	0	585
141	375	585
142	0	585
143	250	591
144	0	591
145	250	589
146	0	589
147	250	587
148	0	587
149	250	584
150	0	584
151	0	581
152	475	581
153	0	581
154	0	574
155	350	574
156	0	574
157	0	569
158	475	569
159	0	569
160	0	561
161	300	561
162	0	561
163	0	555
164	475	555
165	0	555
166	0	546
167	325	546
168	0	546
169	350	539
170	0	539
171	0	539
172	375	539
173	0	539
174	0	521
175	0	521
176	525	521
177	0	521
178	0	507
179	375	507
180	0	507
181	350	504
182	0	504
183	0	493
184	375	493
185	0	493
186	300	481
187	0	481
188	200	471
189	0	471
190	300	464
191	0	464
192	200	453
193	0	453
194	0	453
195	0	453
196	600	453
197	0	453
198	300	423
199	0	423
200	0	417
201	350	417
202	0	417
203	300	402
204	0	402
205	0	395
206	375	395
207	0	395
208	275	372
209	0	372
210	175	364
211	0	364
212	350	356
213	175	356
214	0	339
215	225	335
216	0	335
217	225	323
218	175	323
219	175	311
220	0	301
221	225	296
222	0	296
223	250	287
224	0	287
225	250	273
226	0	273
227	0	258
228	375	258
229	200	258
230	175	242
231	125	229
232	0	220
233	0	215
234	375	215
235	0	215
236	275	192
237	0	192
238	200	177
239	125	177
240	200	166
241	0	159
242	0	146
243	375	146
244	150	146
245	0	125
246	300	115
247	0	115
248	0	98
249	350	98
250	0	98
251	0	80
252	0	80
253	500	80
254	0	80
255	0	0
