Limiar	Frequencia	Variancia
1	0	0
2	0	0
3	0	12
4	0	30
5	0	39
6	0	49
7	0	59
8	0	62
9	0	69
10	0	75
11	0	85
12	0	93
13	0	97
14	0	106
15	0	110
16	0	118
17	0	128
18	0	136
19	0	144
20	0	152
21	0	162
22	0	174
23	0	182
24	0	192
25	0	201
26	0	210
27	0	217
28	0	227
29	0	234
30	0	243
31	0	248
32	0	255
33	0	260
34	0	269
35	0	275
36	0	278
37	0	287
38	0	292
39	0	301
40	0	310
41	0	320
42	0	326
43	0	335
44	0	338
45	0	344
46	0	356
47	0	368
48	0	371
49	0	378
50	0	381
51	0	389
52	0	397
53	0	403
54	0	410
55	0	414
56	0	420
57	0	422
58	0	432
59	0	436
60	0	436
61	0	443
62	0	447
63	0	449
64	0	453
65	0	458
66	0	462
67	0	466
68	0	466
69	0	471
70	0	474
71	0	475
72	0	480
73	0	478
74	0	485
75	0	486
76	0	490
77	0	495
78	0	496
79	0	499
80	0	505
81	0	505
82	0	511
83	0	511
84	0	515
85	0	524
86	0	528
87	0	529
88	0	533
89	0	540
90	0	541
91	0	542
92	0	547
93	0	555
94	0	555
95	0	556
96	0	562
97	0	567
98	0	565
99	0	569
100	0	568
101	0	574
102	0	572
103	0	571
104	0	578
105	0	577
106	0	582
107	0	586
108	0	585
109	0	588
110	0	584
111	0	588
112	0	583
113	0	587
114	0	591
115	0	587
116	0	592
117	0	590
118	0	594
119	0	597
120	0	591
121	0	598
122	0	594
123	0	597
124	0	590
125	0	594
126	0	592
127	0	594
128	0	600
129	0	596
130	0	596
131	0	591
132	0	597
133	0	592
134	0	597
135	0	592
136	0	595
137	0	599
138	0	593
139	0	591
140	0	597
141	0	596
142	0	589
143	0	594
144	0	590
145	0	586
146	0	592
147	0	586
148	0	590
149	0	584
150	0	589
151	0	585
152	0	582
153	0	576
154	0	573
155	0	570
156	0	576
157	0	570
158	0	566
159	0	569
160	0	565
161	0	562
162	0	567
163	0	562
164	0	557
165	0	560
166	0	557
167	0	550
168	0	546
169	0	541
170	0	546
171	0	541
172	0	535
173	0	531
174	0	525
175	0	529
176	0	522
177	0	527
178	0	521
179	0	516
180	0	510
181	0	505
182	0	503
183	0	496
184	0	492
185	0	501
186	0	496
187	0	485
188	0	479
189	0	467
190	0	464
191	0	449
192	0	447
193	600	437
194	0	426
195	0	0
196	0	0
197	0	0
198	0	0
199	0	0
200	0	0
201	0	0
202	0	0
203	0	0
204	0	0
205	0	0
206	0	0
207	0	0
208	0	0
209	0	0
210	0	0
211	0	0
212	0	0
213	0	0
214	0	0
215	0	0
216	0	0
217	0	0
218	0	0
219	0	0
220	0	0
221	0	0
222	0	0
223	0	0
224	0	0
225	0	0
226	0	0
227	0	0
228	0	0
229	0	0
230	0	0
231	0	0
232	0	0
233	0	0
234	0	0
235	0	0
236	0	0
237	0	0
238	0	0
239	0	0
240	0	0
241	0	0
242	0	0
243	0	0
244	0	0
245	0	0
246	0	0
247	0	0
248	0	0
249	0	0
250	0	0
251	0	0
252	0	0
253	0	0
254	0	0
255	0	0
