Limiar	Frequencia	Variancia
1	388	0
2	403	0
3	468	0
4	468	0
5	462	0
6	466	0
7	482	0
8	501	0
9	513	0
10	504	0
11	517	0
12	543	0
13	552	0
14	600	0
15	590	0
16	582	0
17	575	0
18	590	0
19	579	0
20	586	0
21	585	0
22	562	0
23	559	0
24	545	0
25	547	0
26	556	0
27	536	0
28	498	0
29	489	0
30	495	0
31	507	0
32	501	0
33	499	0
34	506	1
35	500	1
36	502	1
37	504	1
38	488	1
39	507	1
40	504	1
41	482	1
42	449	1
43	430	1
44	419	1
45	413	1
46	406	1
47	394	1
48	372	1
49	363	1
50	352	1
51	317	1
52	300	1
53	283	1
54	269	1
55	271	1
56	279	1
57	258	1
58	235	1
59	229	1
60	234	1
61	237	1
62	242	1
63	257	1
64	291	1
65	329	1
66	379	1
67	398	1
68	413	1
69	393	1
70	357	1
71	304	1
72	248	1
73	227	1
74	215	1
75	236	1
76	200	1
77	191	1
78	187	1
79	195	1
80	195	1
81	194	1
82	192	1
83	196	1
84	194	1
85	186	1
86	185	1
87	181	1
88	186	1
89	187	1
90	187	1
91	179	1
92	179	1
93	174	1
94	186	1
95	203	1
96	178	1
97	173	1
98	169	1
99	173	1
100	175	1
101	172	1
102	177	1
103	176	1
104	174	1
105	171	1
106	175	1
107	170	1
108	168	1
109	169	1
110	162	1
111	156	1
112	151	1
113	151	1
114	142	1
115	137	1
116	135	1
117	129	1
118	123	1
119	116	1
120	111	0
121	102	0
122	111	0
123	118	0
124	95	0
125	79	0
126	68	0
127	63	0
128	59	0
129	54	0
130	49	0
131	45	0
132	42	0
133	40	0
134	35	0
135	34	0
136	31	0
137	32	0
138	30	0
139	30	0
140	29	0
141	28	0
142	27	0
143	27	0
144	25	0
145	29	0
146	36	0
147	36	0
148	23	0
149	17	0
150	17	0
151	19	0
152	21	0
153	24	0
154	24	0
155	26	0
156	27	0
157	28	0
158	29	0
159	29	0
160	27	0
161	28	0
162	28	0
163	26	0
164	25	0
165	26	0
166	23	0
167	24	0
168	23	0
169	20	0
170	19	0
171	18	0
172	17	0
173	22	0
174	28	0
175	38	0
176	66	0
177	155	0
178	181	0
179	78	0
180	3	0
181	0	13
182	0	600
183	0	0
184	0	0
185	0	0
186	0	0
187	0	0
188	0	0
189	0	0
190	0	0
191	0	0
192	0	0
193	0	0
194	0	0
195	0	0
196	0	0
197	0	0
198	0	0
199	0	0
200	0	0
201	0	0
202	0	0
203	0	0
204	0	0
205	0	0
206	0	0
207	0	0
208	0	0
209	0	0
210	0	0
211	0	0
212	0	0
213	0	0
214	0	0
215	0	0
216	0	0
217	0	0
218	0	0
219	0	0
220	0	0
221	0	0
222	0	0
223	0	0
224	0	0
225	0	0
226	0	0
227	0	0
228	0	0
229	0	0
230	0	0
231	0	0
232	0	0
233	0	0
234	0	0
235	0	0
236	0	0
237	0	0
238	0	0
239	0	0
240	0	0
241	0	0
242	0	0
243	0	0
244	0	0
245	0	0
246	0	0
247	0	0
248	0	0
249	0	0
250	0	0
251	0	0
252	0	0
253	0	0
254	0	0
255	0	0
