Limiar	Frequencia	Variancia
1	0	0
2	0	0
3	0	0
4	0	0
5	6	0
6	0	0
7	1	0
8	0	0
9	1	0
10	1	0
11	18	0
12	111	0
13	297	0
14	460	0
15	600	0
16	444	1
17	242	1
18	141	2
19	80	2
20	68	2
21	50	3
22	39	3
23	37	3
24	43	3
25	47	3
26	44	3
27	49	3
28	47	3
29	42	3
30	42	3
31	43	3
32	49	3
33	54	3
34	50	3
35	48	3
36	45	3
37	44	3
38	49	4
39	46	4
40	43	4
41	40	4
42	40	4
43	40	4
44	42	4
45	41	4
46	44	4
47	42	4
48	40	4
49	40	4
50	46	4
51	51	4
52	51	4
53	57	4
54	64	4
55	64	4
56	64	4
57	67	4
58	70	4
59	71	4
60	73	4
61	74	4
62	77	4
63	77	4
64	83	4
65	86	4
66	80	4
67	82	4
68	84	4
69	86	4
70	90	4
71	91	4
72	92	4
73	95	5
74	107	4
75	104	4
76	103	5
77	103	4
78	105	4
79	105	5
80	110	5
81	111	5
82	115	5
83	116	5
84	113	5
85	115	4
86	122	5
87	120	5
88	114	5
89	113	5
90	111	5
91	111	4
92	111	4
93	112	5
94	109	4
95	111	5
96	113	5
97	112	4
98	107	5
99	106	4
100	108	4
101	102	4
102	95	4
103	93	5
104	90	4
105	85	4
106	82	4
107	79	4
108	77	4
109	75	4
110	70	4
111	70	4
112	64	4
113	60	4
114	57	4
115	57	4
116	58	4
117	52	4
118	49	4
119	49	4
120	47	4
121	49	4
122	50	4
123	55	4
124	58	4
125	62	4
126	65	4
127	64	4
128	64	4
129	61	4
130	56	4
131	51	4
132	46	4
133	47	4
134	47	4
135	46	4
136	39	4
137	39	4
138	37	4
139	37	4
140	36	3
141	35	3
142	35	3
143	33	3
144	32	3
145	32	3
146	30	3
147	30	3
148	29	3
149	28	3
150	28	3
151	28	3
152	27	3
153	31	3
154	33	3
155	30	3
156	27	3
157	28	3
158	28	3
159	28	3
160	28	3
161	28	3
162	28	3
163	29	3
164	29	3
165	29	3
166	29	3
167	28	3
168	28	3
169	28	2
170	27	2
171	27	2
172	25	2
173	26	2
174	24	2
175	23	2
176	21	2
177	20	2
178	19	2
179	18	2
180	18	2
181	19	2
182	18	2
183	12	2
184	11	2
185	10	2
186	9	2
187	8	2
188	7	2
189	6	2
190	6	2
191	5	2
192	5	2
193	4	2
194	4	2
195	4	2
196	3	2
197	3	2
198	3	2
199	3	2
200	2	2
201	2	2
202	3	2
203	3	2
204	5	2
205	6	2
206	4	2
207	3	2
208	3	2
209	3	2
210	3	2
211	4	2
212	4	2
213	5	2
214	5	2
215	5	2
216	5	2
217	6	2
218	7	2
219	7	2
220	7	1
221	7	1
222	6	1
223	6	1
224	6	1
225	4	1
226	4	1
227	3	1
228	2	1
229	3	1
230	3	1
231	4	1
232	6	1
233	8	1
234	12	1
235	17	1
236	15	1
237	8	1
238	4	2
239	7	2
240	13	2
241	2	3
242	0	14
243	0	600
244	0	0
245	0	0
246	0	0
247	0	0
248	0	0
249	0	0
250	0	0
251	0	0
252	0	0
253	0	0
254	0	0
255	0	0
