Limiar	Frequencia	Variancia
1	18	0
2	0	0
3	111	3
4	0	3
5	0	25
6	0	25
7	0	25
8	0	25
9	297	25
10	0	25
11	0	78
12	0	78
13	0	78
14	0	78
15	0	78
16	0	78
17	0	78
18	460	78
19	0	78
20	0	153
21	0	153
22	0	153
23	0	153
24	0	153
25	0	153
26	0	153
27	0	153
28	0	153
29	0	153
30	0	153
31	600	153
32	0	153
33	0	236
34	0	236
35	0	236
36	0	236
37	0	236
38	0	236
39	0	236
40	444	236
41	0	236
42	0	294
43	0	294
44	0	294
45	242	294
46	0	294
47	141	329
48	0	329
49	80	340
50	68	340
51	50	355
52	39	362
53	37	368
54	43	372
55	47	376
56	44	387
57	49	386
58	47	397
59	84	396
60	43	407
61	49	409
62	54	420
63	0	418
64	98	430
65	45	430
66	44	439
67	49	436
68	46	447
69	43	451
70	40	455
71	40	459
72	40	463
73	83	466
74	44	477
75	42	484
76	40	480
77	40	483
78	46	494
79	51	489
80	51	500
81	57	496
82	64	508
83	0	504
84	64	516
85	64	516
86	67	520
87	0	516
88	70	529
89	71	529
90	0	533
91	73	537
92	74	537
93	0	541
94	77	545
95	77	545
96	0	549
97	83	553
98	0	553
99	86	557
100	80	557
101	0	560
102	82	564
103	0	564
104	84	567
105	0	567
106	86	570
107	90	570
108	0	573
109	91	576
110	0	576
111	92	588
112	0	588
113	95	590
114	0	590
115	107	592
116	0	592
117	104	594
118	0	594
119	0	596
120	103	596
121	0	596
122	103	597
123	0	597
124	105	589
125	0	589
126	105	590
127	0	590
128	110	590
129	0	590
130	111	600
131	0	600
132	0	599
133	115	599
134	0	599
135	116	598
136	0	598
137	0	597
138	113	597
139	0	597
140	115	596
141	0	596
142	122	594
143	0	594
144	0	591
145	120	591
146	0	591
147	114	588
148	0	588
149	113	585
150	0	585
151	0	581
152	111	581
153	0	581
154	111	586
155	0	586
156	111	582
157	0	582
158	0	568
159	112	568
160	0	568
161	109	563
162	0	563
163	111	558
164	0	558
165	113	561
166	0	561
167	0	554
168	112	554
169	0	554
170	107	547
171	0	547
172	106	541
173	0	541
174	108	533
175	0	533
176	102	518
177	0	518
178	95	518
179	0	518
180	93	511
181	0	511
182	90	511
183	0	511
184	85	504
185	82	504
186	0	496
187	79	489
188	0	489
189	77	474
190	75	474
191	0	467
192	70	467
193	70	467
194	64	460
195	0	453
196	60	446
197	57	446
198	57	440
199	58	434
200	52	434
201	49	421
202	49	421
203	47	409
204	49	410
205	50	404
206	55	398
207	0	392
208	58	391
209	62	391
210	65	378
211	64	370
212	0	367
213	64	358
214	61	358
215	56	344
216	51	341
217	46	333
218	47	330
219	47	319
220	46	316
221	39	309
222	77	302
223	37	297
224	36	289
225	70	283
226	33	277
227	64	266
228	30	264
229	59	253
230	56	252
231	28	241
232	59	235
233	63	227
234	27	219
235	57	210
236	57	205
237	28	197
238	57	189
239	58	183
240	29	177
241	57	165
242	56	161
243	53	151
244	50	144
245	44	134
246	59	127
247	37	119
248	61	111
249	47	104
250	48	95
251	51	87
252	48	81
253	42	75
254	53	73
255	0	80
