Limiar	Frequencia	Variancia
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0
63	0	0
64	96	0
65	0	0
66	0	12
67	0	12
68	0	12
69	6	12
70	0	12
71	1	13
72	0	13
73	1	13
74	1	13
75	18	13
76	111	13
77	297	15
78	460	25
79	600	53
80	444	101
81	242	162
82	141	215
83	80	235
84	68	252
85	50	265
86	39	278
87	37	282
88	43	285
89	47	288
90	44	291
91	49	294
92	47	298
93	42	309
94	42	312
95	43	308
96	49	319
97	54	322
98	50	325
99	48	337
100	45	332
101	44	344
102	49	347
103	46	350
104	43	353
105	40	356
106	40	359
107	40	352
108	42	364
109	41	366
110	44	369
111	42	362
112	40	373
113	40	376
114	46	369
115	51	380
116	51	383
117	57	376
118	64	388
119	64	391
120	64	384
121	67	397
122	70	390
123	71	393
124	73	396
125	74	399
126	77	401
127	77	394
128	83	407
129	86	399
130	80	412
131	82	404
132	84	406
133	86	408
134	90	410
135	91	412
136	92	413
137	95	405
138	107	416
139	104	407
140	103	408
141	103	419
142	105	409
143	105	410
144	110	420
145	111	410
146	115	409
147	116	409
148	113	408
149	115	406
150	122	405
151	120	413
152	114	411
153	113	398
154	111	395
155	111	402
156	111	399
157	112	395
158	109	402
159	111	397
160	113	393
161	112	388
162	107	383
163	106	387
164	108	381
165	102	376
166	95	379
167	93	372
168	90	375
169	85	369
170	82	371
171	79	365
172	77	367
173	75	361
174	70	363
175	70	357
176	64	351
177	60	353
178	57	347
179	57	349
180	58	351
181	52	337
182	49	339
183	49	341
184	47	336
185	49	330
186	50	332
187	55	334
188	58	320
189	62	321
190	65	320
191	64	312
192	64	310
193	61	302
194	56	299
195	51	297
196	46	294
197	47	287
198	47	285
199	46	278
200	39	276
201	39	274
202	37	267
203	37	266
204	36	264
205	35	262
206	35	261
207	33	254
208	32	252
209	32	250
210	30	244
211	30	237
212	29	235
213	28	233
214	28	231
215	28	229
216	27	223
217	31	220
218	33	218
219	30	214
220	27	206
221	28	202
222	28	199
223	28	198
224	28	194
225	28	186
226	28	184
227	29	179
228	29	177
229	29	171
230	29	164
231	28	160
232	28	158
233	28	153
234	27	147
235	27	143
236	25	138
237	26	134
238	24	130
239	23	127
240	21	122
241	20	120
242	19	117
243	18	116
244	18	114
245	19	112
246	18	113
247	12	116
248	11	121
249	10	127
250	9	137
251	8	153
252	7	178
253	6	223
254	6	314
255	0	600
