Limiar	Frequencia	Variancia
1	0	0
2	108	0
3	18	0
4	0	20
5	111	24
6	0	24
7	0	45
8	0	45
9	0	45
10	0	45
11	297	45
12	0	45
13	0	98
14	0	98
15	0	98
16	0	98
17	0	98
18	0	98
19	0	98
20	0	98
21	460	98
22	0	98
23	0	170
24	0	170
25	0	170
26	0	170
27	0	170
28	0	170
29	0	170
30	0	170
31	0	170
32	0	170
33	600	170
34	0	170
35	0	250
36	0	250
37	0	250
38	0	250
39	0	250
40	0	250
41	0	250
42	444	250
43	0	250
44	0	312
45	0	312
46	0	312
47	242	312
48	0	312
49	0	340
50	141	340
51	0	340
52	80	356
53	68	356
54	50	371
55	39	373
56	37	384
57	43	382
58	47	392
59	44	390
60	49	402
61	47	406
62	84	411
63	43	416
64	49	424
65	54	421
66	0	432
67	50	444
68	94	444
69	44	442
70	49	450
71	46	461
72	43	458
73	40	469
74	40	465
75	40	469
76	42	479
77	85	475
78	42	486
79	40	492
80	40	495
81	46	498
82	51	501
83	51	497
84	57	508
85	0	511
86	64	515
87	64	515
88	64	519
89	0	523
90	67	527
91	70	527
92	0	531
93	71	535
94	73	535
95	0	538
96	74	542
97	77	542
98	0	546
99	77	558
100	0	558
101	83	561
102	86	561
103	0	556
104	80	559
105	0	559
106	82	562
107	0	562
108	84	565
109	86	565
110	0	567
111	90	579
112	0	579
113	91	581
114	0	581
115	92	583
116	0	583
117	95	585
118	0	585
119	107	587
120	0	587
121	104	588
122	0	588
123	103	589
124	0	589
125	0	590
126	103	590
127	0	590
128	105	590
129	0	590
130	105	590
131	0	590
132	110	600
133	0	600
134	0	590
135	111	590
136	0	590
137	115	589
138	0	589
139	116	587
140	0	587
141	0	585
142	113	585
143	0	585
144	115	592
145	0	592
146	0	589
147	122	589
148	0	589
149	120	577
150	0	577
151	114	573
152	0	573
153	0	578
154	113	578
155	0	578
156	111	573
157	0	573
158	111	569
159	0	569
160	0	555
161	111	555
162	0	555
163	112	549
164	0	549
165	109	552
166	0	552
167	0	546
168	111	546
169	0	546
170	113	539
171	0	539
172	112	532
173	0	532
174	0	532
175	107	532
176	0	532
177	106	517
178	0	517
179	108	509
180	0	509
181	102	500
182	0	500
183	95	492
184	0	492
185	93	484
186	0	484
187	90	476
188	0	476
189	85	468
190	82	468
191	0	460
192	79	459
193	0	459
194	77	451
195	75	451
196	0	443
197	70	435
198	70	435
199	64	427
200	0	426
201	60	413
202	57	413
203	57	406
204	58	405
205	52	398
206	49	391
207	49	385
208	47	385
209	49	373
210	50	372
211	0	360
212	55	359
213	58	359
214	62	351
215	65	343
216	0	335
217	64	325
218	64	325
219	61	321
220	0	311
221	56	302
222	51	302
223	46	298
224	47	290
225	47	283
226	85	275
227	39	272
228	37	258
229	74	251
230	35	248
231	35	235
232	66	233
233	32	226
234	60	217
235	57	208
236	28	203
237	56	192
238	31	189
239	63	178
240	56	174
241	28	163
242	57	156
243	57	152
244	58	143
245	29	132
246	58	124
247	57	119
248	27	109
249	53	101
250	50	96
251	44	88
252	59	81
253	37	76
254	61	72
255	0	76
