Limiar	Frequencia	Variancia
1	414	0
2	385	0
3	395	5
4	402	11
5	411	16
6	431	22
7	437	27
8	439	34
9	453	39
10	511	46
11	496	52
12	491	59
13	492	67
14	501	74
15	502	80
16	526	88
17	532	95
18	552	103
19	557	109
20	540	117
21	551	128
22	582	133
23	573	144
24	547	152
25	539	164
26	532	172
27	530	179
28	529	187
29	535	198
30	523	205
31	532	221
32	543	227
33	536	238
34	511	249
35	507	260
36	515	271
37	487	281
38	456	291
39	445	306
40	431	316
41	408	330
42	393	334
43	377	348
44	369	362
45	360	371
46	337	385
47	334	398
48	306	406
49	287	414
50	273	421
51	276	434
52	277	448
53	248	461
54	237	467
55	234	474
56	226	487
57	235	494
58	240	506
59	266	518
60	280	530
61	297	534
62	313	549
63	309	563
64	0	582
65	0	600
66	0	600
67	0	600
68	0	600
69	0	600
70	0	600
71	0	600
72	0	600
73	0	600
74	0	600
75	0	600
76	0	600
77	0	600
78	0	600
79	0	600
80	0	600
81	0	600
82	0	600
83	0	600
84	0	600
85	0	600
86	0	600
87	0	600
88	0	600
89	0	600
90	0	600
91	0	600
92	0	600
93	0	600
94	0	600
95	0	600
96	0	600
97	0	600
98	0	600
99	0	600
100	0	600
101	0	600
102	0	600
103	0	600
104	0	600
105	0	600
106	0	600
107	0	600
108	0	600
109	0	600
110	0	600
111	0	600
112	0	600
113	0	600
114	0	600
115	0	600
116	0	600
117	0	600
118	0	600
119	0	600
120	0	600
121	0	600
122	0	600
123	0	600
124	0	600
125	0	600
126	0	600
127	0	600
128	0	600
129	0	600
130	0	600
131	0	600
132	0	600
133	0	600
134	0	600
135	0	600
136	0	600
137	0	600
138	0	600
139	0	600
140	0	600
141	0	600
142	0	600
143	0	600
144	0	600
145	0	600
146	0	600
147	0	600
148	0	600
149	0	600
150	0	600
151	0	600
152	0	600
153	0	600
154	0	600
155	0	600
156	0	600
157	0	600
158	0	600
159	0	600
160	0	600
161	0	600
162	0	600
163	0	600
164	0	600
165	0	600
166	0	600
167	0	600
168	0	600
169	0	600
170	0	600
171	0	600
172	0	600
173	0	600
174	0	600
175	0	600
176	0	600
177	0	600
178	0	600
179	0	600
180	0	600
181	0	600
182	0	600
183	0	600
184	0	600
185	0	600
186	0	600
187	0	600
188	0	600
189	0	600
190	0	600
191	0	600
192	0	600
193	600	600
194	270	600
195	245	559
196	222	541
197	225	528
198	224	517
199	220	506
200	187	489
201	189	477
202	181	462
203	179	452
204	174	442
205	168	432
206	167	422
207	161	408
208	154	398
209	153	388
210	143	383
211	144	370
212	140	361
213	135	352
214	134	347
215	135	335
216	132	327
217	151	318
218	158	309
219	145	299
220	130	289
221	136	279
222	137	273
223	136	264
224	274	254
225	136	247
226	138	227
227	139	220
228	138	209
229	139	201
230	136	192
231	137	183
232	136	174
233	132	165
234	129	157
235	123	147
236	124	139
237	114	130
238	110	121
239	102	115
240	99	107
241	93	100
242	88	94
243	88	88
244	91	82
245	86	77
246	61	72
247	53	67
248	48	64
249	44	62
250	39	61
251	35	62
252	32	66
253	28	74
254	25	94
255	0	158
