Limiar	Frequencia	Variancia
1	0	0
2	380	0
3	0	0
4	0	22
5	411	22
6	0	22
7	0	48
8	426	48
9	0	48
10	0	71
11	396	71
12	0	71
13	407	94
14	0	94
15	0	118
16	414	118
17	0	118
18	0	139
19	423	139
20	0	139
21	0	161
22	444	161
23	0	161
24	0	184
25	450	184
26	0	184
27	0	206
28	452	206
29	0	206
30	0	228
31	467	228
32	0	228
33	0	250
34	526	250
35	0	250
36	0	274
37	511	274
38	0	274
39	0	297
40	0	297
41	506	297
42	0	297
43	0	323
44	507	323
45	0	323
46	0	338
47	0	338
48	516	338
49	0	338
50	0	359
51	517	359
52	0	359
53	0	378
54	541	378
55	0	378
56	0	397
57	0	397
58	548	397
59	0	397
60	0	416
61	0	416
62	569	416
63	0	416
64	0	434
65	0	434
66	574	434
67	0	434
68	0	452
69	556	452
70	0	452
71	0	468
72	0	468
73	568	468
74	0	468
75	0	483
76	0	483
77	600	483
78	0	483
79	0	498
80	0	498
81	590	498
82	0	498
83	0	512
84	563	512
85	0	512
86	0	532
87	0	532
88	555	532
89	0	532
90	0	535
91	0	535
92	548	535
93	0	535
94	0	545
95	546	545
96	0	545
97	0	553
98	0	553
99	545	553
100	0	553
101	0	561
102	551	561
103	0	561
104	0	577
105	0	577
106	539	577
107	0	577
108	0	574
109	0	574
110	548	574
111	0	574
112	0	579
113	559	579
114	0	579
115	0	584
116	0	584
117	552	584
118	0	584
119	0	587
120	526	587
121	0	587
122	0	598
123	0	598
124	522	598
125	0	598
126	0	590
127	531	590
128	0	590
129	0	591
130	0	591
131	502	591
132	0	591
133	0	600
134	470	600
135	0	600
136	0	589
137	458	589
138	0	589
139	0	587
140	444	587
141	0	587
142	420	585
143	0	585
144	0	591
145	405	591
146	0	591
147	0	579
148	389	579
149	0	579
150	380	585
151	0	585
152	0	581
153	370	581
154	0	581
155	347	576
156	0	576
157	344	563
158	0	563
159	316	558
160	0	558
161	295	562
162	0	562
163	281	558
164	0	558
165	284	553
166	0	553
167	285	548
168	256	548
169	0	551
170	244	537
171	0	537
172	241	532
173	233	532
174	0	527
175	242	522
176	247	522
177	0	525
178	274	519
179	0	519
180	288	512
181	0	512
182	306	505
183	0	505
184	322	497
185	0	497
186	318	488
187	0	488
188	316	478
189	0	478
190	301	469
191	0	469
192	278	460
193	0	460
194	253	451
195	229	451
196	0	443
197	231	435
198	230	435
199	0	434
200	227	426
201	192	426
202	195	418
203	0	404
204	186	403
205	184	403
206	179	396
207	173	395
208	172	382
209	166	375
210	159	374
211	158	361
212	147	360
213	149	354
214	144	347
215	139	341
216	138	339
217	139	328
218	136	327
219	155	320
220	163	314
221	150	311
222	134	299
223	140	296
224	141	289
225	141	282
226	282	275
227	140	272
228	142	257
229	144	250
230	142	246
231	143	238
232	140	233
233	141	225
234	140	217
235	136	212
236	133	204
237	254	198
238	118	190
239	113	177
240	208	174
241	187	169
242	91	157
243	183	146
244	168	142
245	157	134
246	160	125
247	143	117
248	143	109
249	162	102
250	142	95
251	159	86
252	146	81
253	148	75
254	172	72
255	0	78
