Limiar	Frequencia	Variancia
1	0	0
2	0	0
3	328	0
4	0	0
5	0	27
6	293	27
7	0	27
8	290	52
9	0	52
10	0	75
11	292	75
12	0	75
13	0	100
14	291	100
15	0	100
16	0	121
17	299	121
18	0	121
19	300	144
20	0	144
21	0	166
22	296	166
23	0	166
24	0	187
25	299	187
26	0	187
27	0	211
28	326	211
29	0	211
30	0	230
31	337	230
32	0	230
33	0	256
34	349	256
35	0	256
36	0	275
37	345	275
38	0	275
39	0	296
40	0	296
41	337	296
42	0	296
43	0	316
44	346	316
45	0	316
46	0	336
47	351	336
48	0	336
49	0	361
50	353	361
51	0	361
52	0	374
53	0	374
54	356	374
55	0	374
56	0	392
57	354	392
58	0	392
59	0	416
60	354	416
61	0	416
62	0	426
63	355	426
64	0	426
65	0	442
66	0	442
67	364	442
68	0	442
69	0	464
70	373	464
71	0	464
72	0	472
73	0	472
74	381	472
75	0	472
76	0	486
77	368	486
78	0	486
79	0	499
80	363	499
81	0	499
82	0	519
83	0	519
84	361	519
85	0	519
86	0	522
87	362	522
88	0	522
89	0	532
90	354	532
91	0	532
92	0	549
93	0	549
94	340	549
95	0	549
96	0	549
97	334	549
98	0	549
99	0	565
100	330	565
101	0	565
102	0	563
103	322	563
104	0	563
105	0	577
106	316	577
107	0	577
108	0	573
109	322	573
110	0	573
111	0	587
112	315	587
113	0	587
114	319	581
115	0	581
116	0	594
117	0	594
118	325	594
119	0	594
120	305	587
121	0	587
122	0	598
123	297	598
124	0	598
125	0	590
126	298	590
127	0	590
128	0	600
129	301	600
130	0	600
131	298	599
132	0	599
133	0	590
134	303	590
135	0	590
136	0	598
137	291	598
138	0	598
139	276	596
140	0	596
141	0	594
142	267	594
143	0	594
144	261	592
145	0	592
146	0	589
147	240	589
148	0	589
149	236	586
150	0	586
151	227	582
152	0	582
153	218	579
154	0	579
155	225	584
156	0	584
157	229	580
158	0	580
159	224	567
160	0	567
161	212	562
162	0	562
163	207	557
164	0	557
165	211	561
166	0	561
167	212	555
168	0	555
169	225	550
170	0	550
171	239	543
172	0	543
173	0	528
174	259	528
175	0	528
176	274	520
177	0	520
178	0	519
179	0	519
180	0	519
181	0	519
182	600	519
183	0	519
184	296	497
185	0	497
186	0	486
187	287	486
188	0	486
189	252	474
190	0	474
191	223	463
192	0	463
193	187	453
194	0	453
195	180	445
196	164	445
197	0	443
198	173	435
199	154	435
200	0	427
201	145	419
202	141	419
203	142	411
204	0	404
205	138	396
206	136	396
207	136	395
208	132	387
209	0	374
210	129	372
211	132	372
212	132	364
213	130	362
214	131	348
215	0	340
216	133	337
217	130	337
218	130	329
219	134	325
220	0	312
221	129	303
222	141	303
223	146	298
224	129	289
225	0	282
226	123	273
227	0	273
228	246	264
229	122	264
230	122	249
231	121	243
232	125	234
233	120	227
234	0	217
235	118	207
236	115	207
237	116	200
238	111	193
239	110	185
240	105	175
241	106	170
242	99	160
243	196	154
244	98	146
245	92	132
246	89	126
247	87	119
248	167	111
249	86	106
250	92	95
251	102	88
252	85	82
253	148	77
254	136	73
255	0	76
